annee,valeur,unite,rapport_retenu
2007,3085.0,milliers d'actifs occupés,2010
2008,3156.0,milliers d'actifs occupés,2011
2009,3199.0,milliers d'actifs occupés,2012
2010,3277.0,milliers d'actifs occupés,2013
2011,3171.0,milliers d'actifs occupés,2013
2012,3256.0,milliers d'actifs occupés,2015
2013,3369.0,milliers d'actifs occupés,2016
2014,3414.0,milliers d'actifs occupés,2017
2015,3402.0,milliers d'actifs occupés,2018
2016,3437.0,milliers d'actifs occupés,2019
2017,3480.0,milliers d'actifs occupés,2021
2018,3508.0,milliers d'actifs occupés,2024
2019,3566.0,milliers d'actifs occupés,2024
2020,3433.0,milliers d'actifs occupés,2024
2021,3487.0,milliers d'actifs occupés,2024
2022,3500.0,milliers d'actifs occupés,2024
2023,3416.0,milliers d'actifs occupés,2024
2024,3512.0,milliers d'actifs occupés,2024
