caisse,annee,indicateur,valeur_milliers,statut,millesime_source
CNAM,2018,agents,2876.0,realise,LF2022
CNAM,2018,assures,3681.0,realise,LF2022
CNAM,2019,agents,2885.0,realise,LF2022
CNAM,2019,agents,2885.0,realise,LF2023
CNAM,2019,assures,3990.0,realise,LF2022
CNAM,2019,assures,3990.0,realise,LF2023
CNAM,2020,agents,2843.0,realise,LF2022
CNAM,2020,agents,2843.0,realise,LF2023
CNAM,2020,assures,3951.0,realise,LF2022
CNAM,2020,assures,3951.0,realise,LF2023
CNAM,2021,agents,2791.0,realise,LF2023
CNRPS,2016,assures,780.0,realise,LF2020
CNRPS,2016,pensionnes,343.0,realise,LF2020
CNRPS,2017,assures,782.0,realise,LF2020
CNRPS,2017,pensionnes,359.0,realise,LF2020
CNRPS,2018,agents,1459.0,realise,LF2022
CNRPS,2018,assures,766.0,realise,LF2021
CNRPS,2018,assures,766.0,realise,LF2022
CNRPS,2018,assures,779.0,previsionnel,LF2020
CNRPS,2018,pensionnes,382.0,previsionnel,LF2020
CNRPS,2018,pensionnes,382.0,realise,LF2021
CNRPS,2018,pensionnes,382.0,realise,LF2022
CNRPS,2019,agents,1433.0,realise,LF2022
CNRPS,2019,agents,1433.0,realise,LF2023
CNRPS,2019,assures,764.0,previsionnel,LF2021
CNRPS,2019,assures,764.0,realise,LF2022
CNRPS,2019,assures,764.4,realise,LF2023
CNRPS,2019,pensionnes,393.0,realise,LF2022
CNRPS,2019,pensionnes,393.0,realise,LF2023
CNRPS,2020,agents,1425.0,realise,LF2022
CNRPS,2020,agents,1425.0,realise,LF2023
CNRPS,2020,assures,776.0,realise,LF2022
CNRPS,2020,assures,776.5,realise,LF2023
CNRPS,2020,pensionnes,398.6,realise,LF2023
CNRPS,2021,agents,1403.0,realise,LF2023
CNRPS,2021,assures,773.8,realise,LF2023
CNRPS,2021,pensionnes,407.4,realise,LF2023
CNSS,2017,agents,5198.0,realise,LF2020
CNSS,2017,assures,2345.0,realise,LF2020
CNSS,2017,employeurs,165.0,realise,LF2020
CNSS,2018,agents,5206.0,realise,LF2022
CNSS,2018,assures,2364.0,realise,LF2022
CNSS,2018,employeurs,168.0,realise,LF2022
CNSS,2018,pensionnes,822.0,realise,LF2022
CNSS,2019,agents,5039.0,realise,LF2022
CNSS,2019,agents,5039.0,realise,LF2023
CNSS,2019,assures,2402.0,realise,LF2022
CNSS,2019,assures,2402.0,realise,LF2023
CNSS,2019,employeurs,170.0,realise,LF2022
CNSS,2019,pensionnes,871.0,realise,LF2022
CNSS,2019,pensionnes,871.0,realise,LF2023
CNSS,2020,agents,4808.0,realise,LF2022
CNSS,2020,agents,4808.0,realise,LF2023
CNSS,2020,assures,2354.0,realise,LF2022
CNSS,2020,assures,2354.0,realise,LF2023
CNSS,2020,employeurs,174.0,realise,LF2022
CNSS,2020,pensionnes,905.0,realise,LF2022
CNSS,2020,pensionnes,905.0,realise,LF2023
