annee,indicateur,valeur,unite,denominateur,source,note
1980,affiliés actifs,223000.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale ; 223,00 milliers en 1980, 359,68 en 1985 (+61 %), saut non commenté par la source"
1985,affiliés actifs,359680.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale ; 223,00 milliers en 1980, 359,68 en 1985 (+61 %), saut non commenté par la source"
1986,affiliés actifs,369810.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
1987,affiliés actifs,380230.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
1988,affiliés actifs,395020.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
1989,affiliés actifs,408680.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
1990,affiliés actifs,424630.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
1991,affiliés actifs,438240.0,personnes,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« active pop. », milliers à la deuxième décimale"
2000,affiliés actifs,531449.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2001,affiliés actifs,541992.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2002,affiliés actifs,551519.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2003,affiliés actifs,565496.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2004,affiliés actifs,581594.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2005,affiliés actifs,593802.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2006,affiliés actifs,599697.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2007,affiliés actifs,615418.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2008,affiliés actifs,619928.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
2009,affiliés actifs,632986.0,personnes,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 9, lecture image",effectif de fin d'année
