annee,regime,actifs,pensionnes
2000,Régime des salariés agricoles,8235,15088.0
2000,Régime des salariés agricoles amélioré,67451,4727.0
2000,Régime des salariés non agricoles,771898,216702.0
2000,Régime des travailleurs non salariés (secteur agricole),46617,35013.0
2000,Régime des travailleurs non salariés (secteur non agricole),117270,16162.0
2000,Régime des travailleurs tunisiens à l'étranger,749,8.0
2020,Non assujettis,845,
2020,"Régime des artistes, des créateurs et des intellectuels",386,173.0
2020,Régime des salariés agricoles,7484,20531.0
2020,Régime des salariés agricoles amélioré,192881,19866.0
2020,Régime des salariés non agricoles,1266818,632962.0
2020,Régime des travailleurs non salariés (secteur agricole),139229,80428.0
2020,Régime des travailleurs non salariés (secteur non agricole),431316,117916.0
2020,Régime des travailleurs tunisiens à l'étranger,1632,856.0
2020,Régime des travailleurs à faible revenu,313152,31889.0
