annee,regime,indicateur,valeur,unite,denominateur,source,note
2004,"artistes, créateurs et intellectuels (RACI)",actifs,27.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2005,"artistes, créateurs et intellectuels (RACI)",actifs,51.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2006,"artistes, créateurs et intellectuels (RACI)",actifs,87.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2007,"artistes, créateurs et intellectuels (RACI)",actifs,105.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2008,"artistes, créateurs et intellectuels (RACI)",actifs,114.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2009,"artistes, créateurs et intellectuels (RACI)",actifs,168.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2010,"artistes, créateurs et intellectuels (RACI)",actifs,213.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2011,"artistes, créateurs et intellectuels (RACI)",actifs,213.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2012,"artistes, créateurs et intellectuels (RACI)",actifs,211.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2013,"artistes, créateurs et intellectuels (RACI)",actifs,233.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2014,"artistes, créateurs et intellectuels (RACI)",actifs,237.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2015,"artistes, créateurs et intellectuels (RACI)",actifs,261.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2016,"artistes, créateurs et intellectuels (RACI)",actifs,288.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2017,"artistes, créateurs et intellectuels (RACI)",actifs,309.0,personnes,Σ classes × coefficient × SMIG 48 h × 2 400 h,"CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires (annuaire statistique 2017 (arabe), p. 328)",
2004,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.15225,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2003-1691, JORT n° 67 du 22 août 2003, p. 2558 (https://www.pist.tn/jort/2003/2003F/Jo0672003.pdf) ; somme des classes 27 pour 27 actifs"
2005,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.285748,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2004-1803, JORT n° 63 du 6 août 2004, p. 2257 (https://www.pist.tn/jort/2004/2004F/Jo0632004.pdf) ; somme des classes 51 pour 51 actifs"
2006,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.461815,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2005-2320, JORT n° 68 du 26 août 2005, p. 2319 (https://www.pist.tn/jort/2005/2005F/Jo0682005.pdf) ; somme des classes 87 pour 87 actifs"
2007,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.57913,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2006-2098, JORT n° 62 du 4 août 2006, p. 2112 (https://www.pist.tn/jort/2006/2006F/Jo0622006.pdf) ; somme des classes 105 pour 105 actifs"
2008,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),0.653059,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2007-2079, JORT n° 67 du 21 août 2007, p. 2909 (https://www.pist.tn/jort/2007/2007F/Jo0672007.pdf) ; somme des classes 114 pour 114 actifs"
2009,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.011427,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2008-2072, JORT n° 46 du 6 juin 2008, p. 1736 (https://www.pist.tn/jort/2008/2008F/Jo0462008.pdf) ; somme des classes 168 pour 168 actifs"
2010,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.321664,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2009-2257, JORT n° 62 du 4 août 2009, p. 2139 (https://www.pist.tn/jort/2009/2009F/Jo0622009.pdf) ; somme des classes 213 pour 213 actifs"
2011,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.386504,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2010-1746, JORT n° 58 du 20 juillet 2010, p. 1997 (https://www.pist.tn/jort/2010/2010F/Jo0582010.pdf) ; somme des classes 213 pour 213 actifs"
2012,"artistes, créateurs et intellectuels (RACI)",assiette (dénominateur),1.4421,millions de dinars,Σ classes × coefficient × SMIG 48 h × 2 400 h,"calcul ; classes : CNSS, annuaire statistique 2017 (arabe) ; 2010 pour les classes de 2000-2004 ; série cnss-regimes-annuaires ; loi n° 2002-104 du 30 décembre 2002, art. 7, JORT n° 106 du 31 décembre 2002 ; décret n° 2003-894 du 21 avril 2003, JORT n° 34 du 29 avril 2003, p. 1291-1294 (https://www.pist.tn/jort/2003/2003F/Jo0342003.pdf)","SMIG au 1er janvier : décret n° 2011-679, JORT n° 42 du 10 juin 2011, p. 901 (https://www.pist.tn/jort/2011/2011F/Jo0422011.pdf) ; somme des classes 211 pour 211 actifs"
