annee,indicateur,valeur,unite,source,note
2000,"actifs, non-assujettis compris",773161.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2001,"actifs, non-assujettis compris",822458.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2002,"actifs, non-assujettis compris",843079.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2003,"actifs, non-assujettis compris",845952.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2004,"actifs, non-assujettis compris",871625.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2005,"actifs, non-assujettis compris",897761.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2006,"actifs, non-assujettis compris",937263.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2007,"actifs, non-assujettis compris",993000.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2008,"actifs, non-assujettis compris",1062716.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2009,"actifs, non-assujettis compris",1111942.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2010,"actifs, non-assujettis compris",1164404.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2011,"actifs, non-assujettis compris",1162957.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2012,"actifs, non-assujettis compris",1150999.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2013,"actifs, non-assujettis compris",1159698.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2014,"actifs, non-assujettis compris",1173693.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2015,"actifs, non-assujettis compris",1178351.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2016,"actifs, non-assujettis compris",1182289.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
2017,"actifs, non-assujettis compris",1229903.0,personnes,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)",
