annee,indicateur,croissance_pct,source,note
1962,PIB nominal,1.6,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1963,PIB nominal,16.67,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1964,PIB nominal,6.16,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1965,PIB nominal,13.65,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1966,PIB nominal,5.04,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1967,PIB nominal,4.3,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1968,PIB nominal,11.88,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1969,PIB nominal,6.19,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1970,PIB nominal,11.58,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1971,PIB nominal,16.62,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1972,PIB nominal,21.14,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1973,PIB nominal,7.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1974,PIB nominal,34.44,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1975,PIB nominal,12.51,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1976,PIB nominal,11.0,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1977,PIB nominal,13.39,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1978,PIB nominal,13.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1979,PIB nominal,17.64,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1980,PIB nominal,21.17,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1981,PIB nominal,17.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1982,PIB nominal,15.43,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1983,PIB nominal,17.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1984,PIB nominal,13.13,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1985,PIB nominal,9.45,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1986,PIB nominal,2.02,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1987,PIB nominal,12.22,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1988,PIB nominal,7.78,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1989,PIB nominal,10.73,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1990,PIB nominal,12.78,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1991,PIB nominal,11.22,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1992,PIB nominal,13.94,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",
1993,PIB nominal,6.98,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
1994,PIB nominal,7.85,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
1995,PIB nominal,7.83,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
1996,PIB nominal,11.81,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
1997,PIB nominal,9.61,"UNdata, SNA tableau 4.1, série 30 (SCN 1968, base 1983), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)","changement de base corrigé (taux WDI d'origine : 20.33, 1996 en base 1983, 1997 en base 1997)"
1998,PIB nominal,8.21,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
1999,PIB nominal,9.62,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
2000,PIB nominal,8.15,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
2001,PIB nominal,7.86,"UNdata, SNA tableau 4.1, série 100 (SCN 1993, base 1997), produit intérieur brut (B.1*g), compte de production (données INS transmises à l'ONU)",
