rapport,code,impot,forme,libelle,annee,montant_MDT,valorise,libelle_fr,forme_fr
LF2021,111000301,irpp,Réduction,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,2017,0.031,True,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,Réduction
LF2021,111000301,irpp,Réduction,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,2018,0.044,True,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,Réduction
LF2021,111000301,irpp,Réduction,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,2019,0.0,True,Réduction d'impôt au titre des revenus réinvestis dans la souscription au capital initial ou à son augmentation des Etablissements Publics,Réduction
LF2021,111000401,irpp,Déduction,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,0.002,True,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000401,irpp,Déduction,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,0.003,True,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000401,irpp,Déduction,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.0,True,Déduction des revenus provenant de l'activité des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000403,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,0.0,True,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000403,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2018,0.0,True,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000403,irpp,Déduction,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2019,0.0,True,Déduction des revenus réinvestis dans la souscription au capital initial ou à son augmentation des entreprises implantées dans les Parcs d'Activité Economiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
LF2021,111000501,irpp,Déduction,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,2017,,False,Déduction de 50% des dépenses de travaux d'amélioration effectués par les propriétaires portant sur des monuments historiques de l'assiette soumises à l'impôt sur le revenu des personnes physiques,Déduction
