indicateur,annee,valeur,unite,source
Salaire mensuel brut avec contributions,2010,1064.9,dinars courants / mois,2010-2014
Salaire mensuel brut avec contributions,2011,1127.5,dinars courants / mois,2011-2015
Salaire mensuel brut avec contributions,2012,1184.7,dinars courants / mois,2012-2016
Salaire mensuel brut avec contributions,2013,1299.4,dinars courants / mois,2013-2017
Salaire mensuel brut avec contributions,2014,1326.6,dinars courants / mois,2013-2017
Salaire mensuel brut avec contributions,2015,1461.8,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2016,1644.6,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2017,1668.3,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2018,1715.6,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2019,2017.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2020,2260.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2021,2341.2,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2022,2467.2,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2023,2476.1,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2024,2606.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2025,2698.1,dinars courants / mois,"rapport 2018-2025, tableau 10"
