categorie,annee,valeur,unite
Catégorie A1,2018,151.3,milliers d'agents
Catégorie A1,2019,166.3,milliers d'agents
Catégorie A1,2020,177.4,milliers d'agents
Catégorie A1,2021,198.3,milliers d'agents
Catégorie A1,2022,199.6,milliers d'agents
Catégorie A1,2023,196.9,milliers d'agents
Catégorie A1,2024,192.7,milliers d'agents
Catégorie A1,2025,194.2,milliers d'agents
Catégorie A2,2018,154.4,milliers d'agents
Catégorie A2,2019,145.1,milliers d'agents
Catégorie A2,2020,158.8,milliers d'agents
Catégorie A2,2021,155.3,milliers d'agents
Catégorie A2,2022,158.4,milliers d'agents
Catégorie A2,2023,161.0,milliers d'agents
Catégorie A2,2024,156.8,milliers d'agents
Catégorie A2,2025,163.2,milliers d'agents
Catégorie A3,2018,53.1,milliers d'agents
Catégorie A3,2019,51.3,milliers d'agents
Catégorie A3,2020,39.1,milliers d'agents
Catégorie A3,2021,36.4,milliers d'agents
Catégorie A3,2022,34.5,milliers d'agents
Catégorie A3,2023,33.1,milliers d'agents
Catégorie A3,2024,32.5,milliers d'agents
Catégorie A3,2025,32.8,milliers d'agents
Catégorie B,2018,59.7,milliers d'agents
Catégorie B,2019,61.5,milliers d'agents
Catégorie B,2020,65.8,milliers d'agents
Catégorie B,2021,67.4,milliers d'agents
Catégorie B,2022,64.5,milliers d'agents
Catégorie B,2023,62.7,milliers d'agents
Catégorie B,2024,62.5,milliers d'agents
Catégorie B,2025,61.5,milliers d'agents
Catégorie C,2018,55.1,milliers d'agents
Catégorie C,2019,50.6,milliers d'agents
Catégorie C,2020,41.1,milliers d'agents
Catégorie C,2021,31.8,milliers d'agents
Catégorie C,2022,33.5,milliers d'agents
Catégorie C,2023,33.9,milliers d'agents
Catégorie C,2024,33.9,milliers d'agents
Catégorie C,2025,31.2,milliers d'agents
Catégorie D,2018,29.5,milliers d'agents
Catégorie D,2019,29.0,milliers d'agents
Catégorie D,2020,29.6,milliers d'agents
Catégorie D,2021,29.1,milliers d'agents
Catégorie D,2022,29.0,milliers d'agents
Catégorie D,2023,28.4,milliers d'agents
Catégorie D,2024,39.8,milliers d'agents
Catégorie D,2025,40.0,milliers d'agents
Total,2018,503.1,milliers d'agents
Total,2019,503.7,milliers d'agents
Total,2020,511.8,milliers d'agents
Total,2021,518.3,milliers d'agents
Total,2022,519.5,milliers d'agents
Total,2023,515.9,milliers d'agents
Total,2024,518.2,milliers d'agents
Total,2025,522.9,milliers d'agents
