categorie,annee,valeur,unite
Catégorie A1,2015,98.7,milliers d'agents
Catégorie A1,2016,139.5,milliers d'agents
Catégorie A1,2017,143.5,milliers d'agents
Catégorie A1,2018,151.3,milliers d'agents
Catégorie A1,2019,166.3,milliers d'agents
Catégorie A1,2020,177.4,milliers d'agents
Catégorie A1,2021,198.342,milliers d'agents
Catégorie A2,2015,166.3,milliers d'agents
Catégorie A2,2016,150.9,milliers d'agents
Catégorie A2,2017,163.2,milliers d'agents
Catégorie A2,2018,154.4,milliers d'agents
Catégorie A2,2019,145.1,milliers d'agents
Catégorie A2,2020,158.8,milliers d'agents
Catégorie A2,2021,155.271,milliers d'agents
Catégorie A3,2015,78.0,milliers d'agents
Catégorie A3,2016,67.8,milliers d'agents
Catégorie A3,2017,55.6,milliers d'agents
Catégorie A3,2018,53.1,milliers d'agents
Catégorie A3,2019,51.3,milliers d'agents
Catégorie A3,2020,39.1,milliers d'agents
Catégorie A3,2021,36.367,milliers d'agents
Catégorie B,2015,59.5,milliers d'agents
Catégorie B,2016,54.8,milliers d'agents
Catégorie B,2017,57.4,milliers d'agents
Catégorie B,2018,59.7,milliers d'agents
Catégorie B,2019,61.5,milliers d'agents
Catégorie B,2020,65.8,milliers d'agents
Catégorie B,2021,67.433,milliers d'agents
Catégorie C,2015,48.5,milliers d'agents
Catégorie C,2016,50.2,milliers d'agents
Catégorie C,2017,50.7,milliers d'agents
Catégorie C,2018,55.1,milliers d'agents
Catégorie C,2019,50.6,milliers d'agents
Catégorie C,2020,41.1,milliers d'agents
Catégorie C,2021,31.848,milliers d'agents
Catégorie D,2015,23.1,milliers d'agents
Catégorie D,2016,22.6,milliers d'agents
Catégorie D,2017,26.0,milliers d'agents
Catégorie D,2018,29.5,milliers d'agents
Catégorie D,2019,29.0,milliers d'agents
Catégorie D,2020,29.6,milliers d'agents
Catégorie D,2021,29.079,milliers d'agents
Total,2015,474.2,milliers d'agents
Total,2016,485.9,milliers d'agents
Total,2017,496.3,milliers d'agents
Total,2018,503.1,milliers d'agents
Total,2019,503.7,milliers d'agents
Total,2020,511.8,milliers d'agents
Total,2021,518.34,milliers d'agents
