indicateur,annee,valeur,unite
Nombre d’agents hors Collectivités Locales,2018,630742.0,agents
Nombre d’agents hors Collectivités Locales,2019,633665.0,agents
Nombre d’agents hors Collectivités Locales,2020,637112.0,agents
Nombre d’agents hors Collectivités Locales,2021,641870.0,agents
Nombre d’agents hors Collectivités Locales,2022,637030.0,agents
Nombre d’agents hors Collectivités Locales,2023,632083.0,agents
Nombre d’agents hors Collectivités Locales,2024,620687.0,agents
Nombre d’agents hors Collectivités Locales,2025,625801.0,agents
Nombre d’agents des Collectivités Locales,2018,21483.0,agents
Nombre d’agents des Collectivités Locales,2019,25216.0,agents
Nombre d’agents des Collectivités Locales,2020,27083.0,agents
Nombre d’agents des Collectivités Locales,2021,27420.0,agents
Nombre d’agents des Collectivités Locales,2022,27697.0,agents
Nombre d’agents des Collectivités Locales,2023,26925.0,agents
Nombre d’agents des Collectivités Locales,2024,26468.0,agents
Nombre d’agents des Collectivités Locales,2025,26697.0,agents
Total,2018,652225.0,agents
Total,2019,658881.0,agents
Total,2020,664195.0,agents
Total,2021,669290.0,agents
Total,2022,664727.0,agents
Total,2023,659008.0,agents
Total,2024,647155.0,agents
Total,2025,652498.0,agents
Taux d’accroissement annuel (%),2018,1.4,%
Taux d’accroissement annuel (%),2019,1.0,%
Taux d’accroissement annuel (%),2020,0.8,%
Taux d’accroissement annuel (%),2021,0.8,%
Taux d’accroissement annuel (%),2022,-0.7,%
Taux d’accroissement annuel (%),2023,-0.9,%
Taux d’accroissement annuel (%),2024,-1.8,%
Taux d’accroissement annuel (%),2025,0.8,%
