indicateur,annee,valeur,unite
Nombre d’agents hors Collectivités Locales,2015,595.0,milliers d'agents
Nombre d’agents hors Collectivités Locales,2016,615.7,milliers d'agents
Nombre d’agents hors Collectivités Locales,2017,625.2,milliers d'agents
Nombre d’agents hors Collectivités Locales,2018,630.7,milliers d'agents
Nombre d’agents hors Collectivités Locales,2019,633.7,milliers d'agents
Nombre d’agents hors Collectivités Locales,2020,637.1,milliers d'agents
Nombre d’agents hors Collectivités Locales,2021,641.87,milliers d'agents
Nombre d’agents des Collectivités Locales,2015,6.9,milliers d'agents
Nombre d’agents des Collectivités Locales,2016,6.7,milliers d'agents
Nombre d’agents des Collectivités Locales,2017,17.7,milliers d'agents
Nombre d’agents des Collectivités Locales,2018,21.5,milliers d'agents
Nombre d’agents des Collectivités Locales,2019,25.2,milliers d'agents
Nombre d’agents des Collectivités Locales,2020,27.1,milliers d'agents
Nombre d’agents des Collectivités Locales,2021,27.42,milliers d'agents
Total,2015,601.9,milliers d'agents
Total,2016,622.4,milliers d'agents
Total,2017,642.9,milliers d'agents
Total,2018,652.2,milliers d'agents
Total,2019,658.9,milliers d'agents
Total,2020,664.2,milliers d'agents
Total,2021,669.29,milliers d'agents
Taux d’accroissement annuel (%),2015,2.1,%
Taux d’accroissement annuel (%),2016,3.4,%
Taux d’accroissement annuel (%),2017,3.3,%
Taux d’accroissement annuel (%),2018,1.5,%
Taux d’accroissement annuel (%),2019,1.0,%
Taux d’accroissement annuel (%),2020,0.8,%
Taux d’accroissement annuel (%),2021,0.7663354411321821,%
Contribution des collectivités locales à l’accroissement annuel (%),2015,0.0,%
Contribution des collectivités locales à l’accroissement annuel (%),2016,0.0,%
Contribution des collectivités locales à l’accroissement annuel (%),2017,1.8,%
Contribution des collectivités locales à l’accroissement annuel (%),2018,0.6,%
Contribution des collectivités locales à l’accroissement annuel (%),2019,0.6,%
Contribution des collectivités locales à l’accroissement annuel (%),2020,0.3,%
Contribution des collectivités locales à l’accroissement annuel (%),2021,0.0481782595603734,%
