categorie,annee,valeur,unite
Unité 1,2018,63.8,milliers d'agents
Unité 1,2019,63.3,milliers d'agents
Unité 1,2020,58.7,milliers d'agents
Unité 1,2021,55.8,milliers d'agents
Unité 1,2022,50.9,milliers d'agents
Unité 1,2023,48.9,milliers d'agents
Unité 1,2024,35.4,milliers d'agents
Unité 1,2025,36.9,milliers d'agents
Unité 2,2018,49.8,milliers d'agents
Unité 2,2019,51.4,milliers d'agents
Unité 2,2020,54.1,milliers d'agents
Unité 2,2021,54.3,milliers d'agents
Unité 2,2022,54.5,milliers d'agents
Unité 2,2023,52.5,milliers d'agents
Unité 2,2024,53.8,milliers d'agents
Unité 2,2025,53.5,milliers d'agents
Unité 3,2018,12.5,milliers d'agents
Unité 3,2019,14.4,milliers d'agents
Unité 3,2020,14.8,milliers d'agents
Unité 3,2021,15.2,milliers d'agents
Unité 3,2022,14.9,milliers d'agents
Unité 3,2023,14.9,milliers d'agents
Unité 3,2024,14.0,milliers d'agents
Unité 3,2025,13.2,milliers d'agents
Total,2018,126.2,milliers d'agents
Total,2019,129.1,milliers d'agents
Total,2020,127.6,milliers d'agents
Total,2021,125.3,milliers d'agents
Total,2022,120.4,milliers d'agents
Total,2023,116.4,milliers d'agents
Total,2024,103.2,milliers d'agents
Total,2025,103.6,milliers d'agents
