indicateur,annee,valeur,unite,source
Salaire mensuel brut avec contributions,2015,1461.8,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2016,1644.6,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2017,1668.3,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut avec contributions,2018,1715.6,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2019,2017.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2020,2260.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2021,2341.2,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2022,2467.2,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2023,2476.1,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2024,2606.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut avec contributions,2025,2698.1,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2015,1248.7,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut sans contributions,2016,1405.1,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut sans contributions,2017,1427.4,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel brut sans contributions,2018,1468.5,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2019,1699.8,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2020,1904.1,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2021,1969.5,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2022,2075.7,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2023,2080.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2024,2186.7,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel brut sans contributions,2025,2265.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2015,916.7,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel net,2016,1019.8,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel net,2017,1096.0,dinars courants / mois,"enquête 2010-2021, tab18"
Salaire mensuel net,2018,1133.3,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2019,1197.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2020,1309.4,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2021,1314.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2022,1387.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2023,1396.3,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2024,1474.3,dinars courants / mois,"rapport 2018-2025, tableau 10"
Salaire mensuel net,2025,1556.9,dinars courants / mois,"rapport 2018-2025, tableau 10"
