indicateur,annee,valeur,unite
Salaire mensuel brut avec contributions,2015,1461.8,dinars courants / mois
Salaire mensuel brut avec contributions,2016,1644.6,dinars courants / mois
Salaire mensuel brut avec contributions,2017,1668.3,dinars courants / mois
Salaire mensuel brut avec contributions,2018,1716.6,dinars courants / mois
Salaire mensuel brut avec contributions,2019,2018.9,dinars courants / mois
Salaire mensuel brut avec contributions,2020,2261.5,dinars courants / mois
Taux d’accroissement annuel (%),2015,10.2,%
Taux d’accroissement annuel (%),2016,12.5,%
Taux d’accroissement annuel (%),2017,0.5,%
Taux d’accroissement annuel (%),2018,2.9,%
Taux d’accroissement annuel (%),2019,17.6,%
Taux d’accroissement annuel (%),2020,12.0,%
Salaire mensuel brut sans contributions,2015,1248.7,dinars courants / mois
Salaire mensuel brut sans contributions,2016,1405.1,dinars courants / mois
Salaire mensuel brut sans contributions,2017,1427.4,dinars courants / mois
Salaire mensuel brut sans contributions,2018,1469.5,dinars courants / mois
Salaire mensuel brut sans contributions,2019,1700.9,dinars courants / mois
Salaire mensuel brut sans contributions,2020,1905.2,dinars courants / mois
Le salaire mensuel net,2015,916.7,dinars courants / mois
Le salaire mensuel net,2016,1019.8,dinars courants / mois
Le salaire mensuel net,2017,1096.0,dinars courants / mois
Le salaire mensuel net,2018,1130.3,dinars courants / mois
Le salaire mensuel net,2019,1196.7,dinars courants / mois
Le salaire mensuel net,2020,1309.4,dinars courants / mois
Taux d’accroissement annuel (%),2015,9.4,%
Taux d’accroissement annuel (%),2016,11.2,%
Taux d’accroissement annuel (%),2017,7.4,%
Taux d’accroissement annuel (%),2018,3.4,%
Taux d’accroissement annuel (%),2019,5.7,%
Taux d’accroissement annuel (%),2020,9.3,%
