ministere,annee,valeur,unite
Présidence du gouvernement,2018,1684,agents
Présidence du gouvernement,2019,1758,agents
Présidence du gouvernement,2020,1783,agents
Présidence du gouvernement,2021,1797,agents
Présidence du gouvernement,2022,1781,agents
Présidence du gouvernement,2023,1752,agents
Présidence du gouvernement,2024,1637,agents
Présidence du gouvernement,2025,1598,agents
Ministère de la défense,2018,84971,agents
Ministère de la défense,2019,86808,agents
Ministère de la défense,2020,86880,agents
Ministère de la défense,2021,86446,agents
Ministère de la défense,2022,87035,agents
Ministère de la défense,2023,87584,agents
Ministère de la défense,2024,88440,agents
Ministère de la défense,2025,87765,agents
Ministère de l'intérieur,2018,96286,agents
Ministère de l'intérieur,2019,95704,agents
Ministère de l'intérieur,2020,96796,agents
Ministère de l'intérieur,2021,99826,agents
Ministère de l'intérieur,2022,99727,agents
Ministère de l'intérieur,2023,98771,agents
Ministère de l'intérieur,2024,97061,agents
Ministère de l'intérieur,2025,96146,agents
Ministère de la justice,2018,18375,agents
Ministère de la justice,2019,18663,agents
Ministère de la justice,2020,18797,agents
Ministère de la justice,2021,19300,agents
Ministère de la justice,2022,18974,agents
Ministère de la justice,2023,19085,agents
Ministère de la justice,2024,18491,agents
Ministère de la justice,2025,18193,agents
Ministère des finances,2018,18295,agents
Ministère des finances,2019,18383,agents
Ministère des finances,2020,18376,agents
Ministère des finances,2021,18373,agents
Ministère des finances,2022,18237,agents
Ministère des finances,2023,17617,agents
Ministère des finances,2024,17448,agents
Ministère des finances,2025,17572,agents
Ministère de l'agriculture,2018,27534,agents
Ministère de l'agriculture,2019,27068,agents
Ministère de l'agriculture,2020,26603,agents
Ministère de l'agriculture,2021,25483,agents
Ministère de l'agriculture,2022,25387,agents
Ministère de l'agriculture,2023,23329,agents
Ministère de l'agriculture,2024,22690,agents
Ministère de l'agriculture,2025,21421,agents
Ministère de l'équipement,2018,4666,agents
Ministère de l'équipement,2019,4518,agents
Ministère de l'équipement,2020,4432,agents
Ministère de l'équipement,2021,4349,agents
Ministère de l'équipement,2022,4129,agents
Ministère de l'équipement,2023,3927,agents
Ministère de l'équipement,2024,3784,agents
Ministère de l'équipement,2025,3579,agents
Ministère de la jeunesse et des sports,2018,18074,agents
Ministère de la jeunesse et des sports,2019,17780,agents
Ministère de la jeunesse et des sports,2020,17987,agents
Ministère de la jeunesse et des sports,2021,17968,agents
Ministère de la jeunesse et des sports,2022,17375,agents
Ministère de la jeunesse et des sports,2023,17420,agents
Ministère de la jeunesse et des sports,2024,16984,agents
Ministère de la jeunesse et des sports,2025,17423,agents
Ministère de la santé,2018,77256,agents
Ministère de la santé,2019,79124,agents
Ministère de la santé,2020,80665,agents
Ministère de la santé,2021,81909,agents
Ministère de la santé,2022,82269,agents
Ministère de la santé,2023,80280,agents
Ministère de la santé,2024,78057,agents
Ministère de la santé,2025,78622,agents
Ministère de l'éducation,2018,194430,agents
Ministère de l'éducation,2019,194178,agents
Ministère de l'éducation,2020,195391,agents
Ministère de l'éducation,2021,196700,agents
Ministère de l'éducation,2022,196354,agents
Ministère de l'éducation,2023,195779,agents
Ministère de l'éducation,2024,191054,agents
Ministère de l'éducation,2025,197836,agents
Ministère de l'enseignement supérieur,2018,34465,agents
Ministère de l'enseignement supérieur,2019,33982,agents
Ministère de l'enseignement supérieur,2020,33832,agents
Ministère de l'enseignement supérieur,2021,34363,agents
Ministère de l'enseignement supérieur,2022,33561,agents
Ministère de l'enseignement supérieur,2023,33564,agents
Ministère de l'enseignement supérieur,2024,32371,agents
Ministère de l'enseignement supérieur,2025,32181,agents
Ministère des affaires sociales,2018,7814,agents
Ministère des affaires sociales,2019,8875,agents
Ministère des affaires sociales,2020,8863,agents
Ministère des affaires sociales,2021,8722,agents
Ministère des affaires sociales,2022,8461,agents
Ministère des affaires sociales,2023,8784,agents
Ministère des affaires sociales,2024,8499,agents
Ministère des affaires sociales,2025,8613,agents
Collectivités locales,2018,21483,agents
Collectivités locales,2019,25216,agents
Collectivités locales,2020,27083,agents
Collectivités locales,2021,27420,agents
Collectivités locales,2022,27697,agents
Collectivités locales,2023,26925,agents
Collectivités locales,2024,26468,agents
Collectivités locales,2025,26697,agents
Autres établissements,2018,46892,agents
Autres établissements,2019,46824,agents
Autres établissements,2020,46707,agents
Autres établissements,2021,46634,agents
Autres établissements,2022,43740,agents
Autres établissements,2023,44191,agents
Autres établissements,2024,44171,agents
Autres établissements,2025,44852,agents
