ministere,annee,valeur,unite
Présidence du gouvernement,2015,2.4,milliers d'agents
Présidence du gouvernement,2016,2.4,milliers d'agents
Présidence du gouvernement,2017,2.3,milliers d'agents
Présidence du gouvernement,2018,2.2,milliers d'agents
Présidence du gouvernement,2019,2.3,milliers d'agents
Présidence du gouvernement,2020,2.3,milliers d'agents
Présidence du gouvernement,2021,2.275,milliers d'agents
Ministère de la défense,2015,63.1,milliers d'agents
Ministère de la défense,2016,69.4,milliers d'agents
Ministère de la défense,2017,74.7,milliers d'agents
Ministère de la défense,2018,85.0,milliers d'agents
Ministère de la défense,2019,86.8,milliers d'agents
Ministère de la défense,2020,86.9,milliers d'agents
Ministère de la défense,2021,86.446,milliers d'agents
Ministère de l'intérieur,2015,84.2,milliers d'agents
Ministère de l'intérieur,2016,86.4,milliers d'agents
Ministère de l'intérieur,2017,87.4,milliers d'agents
Ministère de l'intérieur,2018,87.3,milliers d'agents
Ministère de l'intérieur,2019,86.4,milliers d'agents
Ministère de l'intérieur,2020,87.5,milliers d'agents
Ministère de l'intérieur,2021,90.304,milliers d'agents
Ministère de la justice,2015,15.9,milliers d'agents
Ministère de la justice,2016,16.0,milliers d'agents
Ministère de la justice,2017,16.9,milliers d'agents
Ministère de la justice,2018,18.0,milliers d'agents
Ministère de la justice,2019,18.2,milliers d'agents
Ministère de la justice,2020,18.4,milliers d'agents
Ministère de la justice,2021,18.858,milliers d'agents
Ministère des finances,2015,19.1,milliers d'agents
Ministère des finances,2016,18.9,milliers d'agents
Ministère des finances,2017,19.0,milliers d'agents
Ministère des finances,2018,18.6,milliers d'agents
Ministère des finances,2019,18.7,milliers d'agents
Ministère des finances,2020,18.7,milliers d'agents
Ministère des finances,2021,18.717,milliers d'agents
Ministère de l'agriculture,2015,28.7,milliers d'agents
Ministère de l'agriculture,2016,29.2,milliers d'agents
Ministère de l'agriculture,2017,28.7,milliers d'agents
Ministère de l'agriculture,2018,27.5,milliers d'agents
Ministère de l'agriculture,2019,27.1,milliers d'agents
Ministère de l'agriculture,2020,26.6,milliers d'agents
Ministère de l'agriculture,2021,25.483,milliers d'agents
Ministère de l'équipement,2015,5.2,milliers d'agents
Ministère de l'équipement,2016,5.4,milliers d'agents
Ministère de l'équipement,2017,5.2,milliers d'agents
Ministère de l'équipement,2018,4.7,milliers d'agents
Ministère de l'équipement,2019,4.6,milliers d'agents
Ministère de l'équipement,2020,4.5,milliers d'agents
Ministère de l'équipement,2021,4.421,milliers d'agents
Ministère de la jeunesse et des sports,2015,18.1,milliers d'agents
Ministère de la jeunesse et des sports,2016,18.5,milliers d'agents
Ministère de la jeunesse et des sports,2017,18.4,milliers d'agents
Ministère de la jeunesse et des sports,2018,18.1,milliers d'agents
Ministère de la jeunesse et des sports,2019,17.8,milliers d'agents
Ministère de la jeunesse et des sports,2020,18.0,milliers d'agents
Ministère de la jeunesse et des sports,2021,17.968,milliers d'agents
Ministère de la santé,2015,73.8,milliers d'agents
Ministère de la santé,2016,75.8,milliers d'agents
Ministère de la santé,2017,77.3,milliers d'agents
Ministère de la santé,2018,77.1,milliers d'agents
Ministère de la santé,2019,79.0,milliers d'agents
Ministère de la santé,2020,80.5,milliers d'agents
Ministère de la santé,2021,81.772,milliers d'agents
Ministère de l'éducation,2015,191.1,milliers d'agents
Ministère de l'éducation,2016,197.9,milliers d'agents
Ministère de l'éducation,2017,196.7,milliers d'agents
Ministère de l'éducation,2018,194.4,milliers d'agents
Ministère de l'éducation,2019,194.2,milliers d'agents
Ministère de l'éducation,2020,195.4,milliers d'agents
Ministère de l'éducation,2021,196.7,milliers d'agents
Ministère de l'enseignement supérieur,2015,36.0,milliers d'agents
Ministère de l'enseignement supérieur,2016,35.9,milliers d'agents
Ministère de l'enseignement supérieur,2017,35.5,milliers d'agents
Ministère de l'enseignement supérieur,2018,34.4,milliers d'agents
Ministère de l'enseignement supérieur,2019,33.9,milliers d'agents
Ministère de l'enseignement supérieur,2020,33.8,milliers d'agents
Ministère de l'enseignement supérieur,2021,34.285,milliers d'agents
Ministère des affaires sociales,2015,7.3,milliers d'agents
Ministère des affaires sociales,2016,7.7,milliers d'agents
Ministère des affaires sociales,2017,8.0,milliers d'agents
Ministère des affaires sociales,2018,7.8,milliers d'agents
Ministère des affaires sociales,2019,8.9,milliers d'agents
Ministère des affaires sociales,2020,8.9,milliers d'agents
Ministère des affaires sociales,2021,8.722,milliers d'agents
Collectivités locales,2015,6.9,milliers d'agents
Collectivités locales,2016,6.7,milliers d'agents
Collectivités locales,2017,17.7,milliers d'agents
Collectivités locales,2018,21.5,milliers d'agents
Collectivités locales,2019,25.2,milliers d'agents
Collectivités locales,2020,27.1,milliers d'agents
Collectivités locales,2021,27.42,milliers d'agents
Autres établissements,2015,50.1,milliers d'agents
Autres établissements,2016,52.1,milliers d'agents
Autres établissements,2017,55.1,milliers d'agents
Autres établissements,2018,55.6,milliers d'agents
Autres établissements,2019,55.8,milliers d'agents
Autres établissements,2020,55.7,milliers d'agents
Autres établissements,2021,55.919,milliers d'agents
