categorie,annee,valeur,unite
A1,2018,2175.3,dinars courants / mois
A1,2019,2367.2,dinars courants / mois
A1,2020,2614.4,dinars courants / mois
A1,2021,2710.3,dinars courants / mois
A1,2022,2838.0,dinars courants / mois
A1,2023,2866.4,dinars courants / mois
A1,2024,2980.4,dinars courants / mois
A1,2025,3106.7,dinars courants / mois
A2,2018,1612.7,dinars courants / mois
A2,2019,1897.8,dinars courants / mois
A2,2020,2078.4,dinars courants / mois
A2,2021,2109.0,dinars courants / mois
A2,2022,2208.3,dinars courants / mois
A2,2023,2203.4,dinars courants / mois
A2,2024,2309.6,dinars courants / mois
A2,2025,2387.5,dinars courants / mois
A3,2018,1359.2,dinars courants / mois
A3,2019,1622.8,dinars courants / mois
A3,2020,1814.2,dinars courants / mois
A3,2021,1860.1,dinars courants / mois
A3,2022,1924.5,dinars courants / mois
A3,2023,1931.2,dinars courants / mois
A3,2024,2007.9,dinars courants / mois
A3,2025,2099.8,dinars courants / mois
B,2018,1359.4,dinars courants / mois
B,2019,1626.7,dinars courants / mois
B,2020,1805.2,dinars courants / mois
B,2021,1788.7,dinars courants / mois
B,2022,1878.0,dinars courants / mois
B,2023,1877.1,dinars courants / mois
B,2024,1963.8,dinars courants / mois
B,2025,2031.4,dinars courants / mois
C,2018,1237.8,dinars courants / mois
C,2019,1445.7,dinars courants / mois
C,2020,1579.4,dinars courants / mois
C,2021,1519.1,dinars courants / mois
C,2022,1625.4,dinars courants / mois
C,2023,1630.7,dinars courants / mois
C,2024,1715.9,dinars courants / mois
C,2025,1760.4,dinars courants / mois
D,2018,1135.8,dinars courants / mois
D,2019,1416.9,dinars courants / mois
D,2020,1540.7,dinars courants / mois
D,2021,1558.5,dinars courants / mois
D,2022,1615.3,dinars courants / mois
D,2023,1617.1,dinars courants / mois
D,2024,1685.8,dinars courants / mois
D,2025,1758.3,dinars courants / mois
