categorie,annee,valeur,unite
A1,2015,2446.6,dinars courants / mois
A1,2016,2458.5,dinars courants / mois
A1,2017,2539.0,dinars courants / mois
A1,2018,2561.4,dinars courants / mois
A1,2019,2829.2,dinars courants / mois
A1,2020,3126.0,dinars courants / mois
A2,2015,1655.2,dinars courants / mois
A2,2016,1844.8,dinars courants / mois
A2,2017,1831.5,dinars courants / mois
A2,2018,1898.6,dinars courants / mois
A2,2019,2272.7,dinars courants / mois
A2,2020,2481.4,dinars courants / mois
A3,2015,1368.9,dinars courants / mois
A3,2016,1516.6,dinars courants / mois
A3,2017,1501.6,dinars courants / mois
A3,2018,1580.5,dinars courants / mois
A3,2019,1919.7,dinars courants / mois
A3,2020,2139.3,dinars courants / mois
B,2015,1237.5,dinars courants / mois
B,2016,1466.1,dinars courants / mois
B,2017,1448.8,dinars courants / mois
B,2018,1581.9,dinars courants / mois
B,2019,1926.2,dinars courants / mois
B,2020,2134.7,dinars courants / mois
C,2015,1141.9,dinars courants / mois
C,2016,1398.9,dinars courants / mois
C,2017,1394.2,dinars courants / mois
C,2018,1457.8,dinars courants / mois
C,2019,1729.6,dinars courants / mois
C,2020,1887.6,dinars courants / mois
D,2015,1144.1,dinars courants / mois
D,2016,1176.1,dinars courants / mois
D,2017,1176.7,dinars courants / mois
D,2018,1296.5,dinars courants / mois
D,2019,1645.1,dinars courants / mois
D,2020,1803.7,dinars courants / mois
