annee,irpp_MDT,irpp_salaires_MDT,irpp_autres_MDT,is_MDT,recettes_fiscales_MDT,pib_minfin_MDT,depenses_totales_MDT,pib_cnat_MDT,irpp_sur_recettes_fiscales_pct,irpp_sur_depenses_totales_pct,irpp_sur_pib_pct,part_salaires_dans_irpp_pct
1986,219.1,128.8,90.3,158.4,1632.0,7160.4,,,13.43,,3.06,58.79
1987,199.6,132.2,67.4,126.7,1666.8,8035.3,,,11.98,,2.48,66.23
1988,200.3,141.5,58.8,119.7,1772.1,8660.6,,,11.3,,2.31,70.64
1989,231.9,165.7,66.2,129.6,1946.0,9589.8,,,11.92,,2.42,71.45
1990,201.7,167.1,34.6,201.4,2169.2,10815.7,3181.8,10815.7,9.3,6.34,1.86,82.85
1991,264.5,179.8,84.7,239.1,2463.996,12028.8,3514.0,12028.8,10.73,7.53,2.2,67.98
1992,296.2,232.1,64.1,267.1,2809.49,13705.9,3656.4,13705.9,10.54,8.1,2.16,78.36
1993,342.3,258.0,84.3,358.3,3080.508,14662.9,4014.2,14662.9,11.11,8.53,2.33,75.37
1994,410.0,319.3,90.7,327.7,3283.585,15813.8,4276.6,15813.8,12.49,9.59,2.59,77.88
1995,460.3,354.6,105.7,350.5,3492.379,17051.8,4584.2,17051.8,13.18,10.04,2.7,77.04
1996,555.7,402.2,153.5,336.3,3780.235,19066.2,4858.3,19066.2,14.7,11.44,2.91,72.38
1997,676.7,477.6,199.1,433.2,4231.0,22943.9,5292.7,22943.9,15.99,12.79,2.95,70.58
1998,771.8,548.3,223.5,514.0,4762.7,24827.6,5607.9,24827.6,16.21,13.76,3.11,71.04
1999,892.7,644.4,248.3,492.3,5208.0,27215.9,6165.3,27215.9,17.14,14.48,3.28,72.19
2000,1021.823,742.469,279.354,574.985,5678.408,29433.4,6638.0,29433.4,17.99,15.39,3.47,72.66
2001,1152.8,831.5,321.3,674.9,6221.5,31746.4,7205.2,31746.4,18.53,16.0,3.63,72.13
2002,1213.9,913.4,300.5,810.7,6429.2,32112.0,7515.8,32112.0,18.88,16.15,3.78,75.25
2003,1309.0,1005.8,303.2,867.8,6630.7,34630.0,7931.5,34630.0,19.74,16.5,3.78,76.84
2004,1436.8,1082.1,354.7,948.4,7251.95,37601.2,8527.8,37601.2,19.81,16.85,3.82,75.31
2005,1524.2,1159.9,364.3,1361.94,7904.26,41871.0,9191.4,41871.0,19.28,16.58,3.64,76.1
2006,1717.0,1300.7,416.3,1389.8,8469.65,45756.2,9973.9,45756.2,20.27,17.21,3.75,75.75
2007,1948.8,1473.2,475.6,1748.8,9508.0,49874.2,11166.1,49874.2,20.5,17.45,3.91,75.6
2008,2145.3,1606.4,538.9,2415.5,11330.94,55296.6,12791.8,55296.6,18.93,16.77,3.88,74.88
2009,2379.4,1842.8,536.6,2266.0,11685.2,58883.3,14174.5,58883.3,20.36,16.79,4.04,77.45
2010,2600.1,2005.5,594.6,2432.6,12698.7,66139.7,14267.4,66139.7,20.48,18.22,3.93,77.13
2011,2873.0,2325.8,547.2,3041.3,13629.9,67747.3,17143.3,67747.3,21.08,16.76,4.24,80.95
2012,3187.9,2640.0,547.9,2901.3,14864.6,73895.4,19141.9,70354.4,21.45,16.65,4.31,82.81
2013,3707.41,3067.95,639.46,3410.6,16321.81,79096.6,22011.6,75144.1,22.71,16.84,4.69,82.75
2014,4095.3,3259.9,835.4,4074.1,18673.578,85345.7,22452.7,80865.5,21.93,18.24,4.8,79.6
2015,5088.4,3556.9,1531.5,2733.7,18545.8,89802.2,22248.5,89802.2,27.44,22.87,5.67,69.9
2016,5942.9,4106.5,1836.4,1633.9,18702.0,95286.9,24112.7,95286.9,31.78,24.65,6.24,69.1
2017,6204.7,4028.9,2175.8,2355.3,21186.5,102011.5,27286.7,102011.5,29.29,22.74,6.08,64.93
2018,6359.1,3830.8,2528.3,2706.1,24503.3,112985.5,29822.5,112985.5,25.95,21.32,5.63,60.24
2019,8813.2,5488.4,3324.8,3835.2,28900.9,122969.3,32672.9,122969.3,30.49,26.97,7.17,62.27
2020,8945.3,5812.7,3132.6,3123.0,27147.0,119502.1,37702.9,119502.1,32.95,23.73,7.49,64.98
2021,9484.6,6418.6,3066.0,3196.0,30404.8,131544.6,40234.1,131544.6,31.19,23.57,7.21,67.67
2022,10075.3,7057.1,3018.2,4314.68,35449.38,139444.5,46219.2,139444.5,28.42,21.8,7.23,70.04
2023,11373.6,7905.5,3468.1,4657.2,38037.2,149733.8,48622.6,149733.8,29.9,23.39,7.6,69.51
2024,12376.2,8507.0,3869.2,5425.8,41723.9,159760.6,51180.6,159760.6,29.66,24.18,7.75,68.74
2025,12913.3,8562.35,4350.95,6511.0,44749.8,172614.0,52495.0,172614.0,28.86,24.6,7.48,66.31
