annee,masse_salariale_MDT,depenses_totales_MDT,depenses_fonctionnement_MDT,pib_nominal_MDT,ms_sur_depenses_totales_pct,ms_sur_depenses_fonctionnement_pct,ms_sur_pib_pct,source_pib
1990,1243.0,3181.8,2109.1,10815.7,39.07,58.94,11.49,Min.Fin retro (b2015)
1991,1409.0,3514.0,2294.8,12028.8,40.1,61.4,11.71,Min.Fin retro (b2015)
1992,1570.0,3656.4,2507.2,13705.9,42.94,62.62,11.45,Min.Fin retro (b2015)
1993,1718.0,4014.2,2702.4,14662.9,42.8,63.57,11.72,Min.Fin retro (b2015)
1994,1907.0,4276.6,2915.4,15813.8,44.59,65.41,12.06,Min.Fin retro (b2015)
1995,2091.0,4584.2,3111.5,17051.8,45.61,67.2,12.26,Min.Fin retro (b2015)
1996,1993.2,4858.3,3247.6,19066.2,41.03,61.37,10.45,Min.Fin retro (b2015)
1997,2293.5,5292.7,3630.8,22943.9,43.33,63.17,10.0,Min.Fin retro (b2015)
1998,2491.9,5607.9,3899.4,24827.6,44.44,63.9,10.04,Min.Fin retro (b2015)
1999,2706.2,6165.3,4102.4,27215.9,43.89,65.97,9.94,Min.Fin retro (b2015)
2000,3141.0,6638.0,4365.2,29433.4,47.32,71.96,10.67,Min.Fin retro (b2015)
2001,3424.8,7205.2,4704.7,31746.4,47.53,72.8,10.79,Min.Fin retro (b2015)
2002,3684.0,7515.8,5010.7,32112.0,49.02,73.52,11.47,Min.Fin retro (b2015)
2003,3968.0,7931.5,5335.4,34630.0,50.03,74.37,11.46,Min.Fin retro (b2015)
2004,4252.6,8527.8,5911.4,37601.2,49.87,71.94,11.31,Min.Fin retro (b2015)
2005,4591.0,9191.4,6554.5,41871.0,49.95,70.04,10.96,Min.Fin retro (b2015)
2006,4931.7,9973.9,7112.3,45756.2,49.45,69.34,10.78,Min.Fin retro (b2015)
2007,5327.5,11166.1,7904.5,49874.2,47.71,67.4,10.68,Min.Fin retro (b2015)
2008,5761.4,12791.8,9264.3,55296.6,45.04,62.19,10.42,Min.Fin retro (b2015)
2009,6298.7,14174.5,9365.0,58883.3,44.44,67.26,10.7,Min.Fin retro (b2015)
2010,6785.2,14267.4,10001.0,66139.7,47.56,67.85,10.26,Min.Fin retro (b2015)
2011,7679.4,17143.3,12502.6,67747.3,44.8,61.42,11.34,Min.Fin retro (b2015)
2012,8655.5,19141.9,14636.0,70354.4,45.22,59.14,12.3,CNAT b2015
2013,9608.0,22011.6,17447.7,75144.1,43.65,55.07,12.79,CNAT b2015
2014,10540.7,22452.7,17284.7,80865.5,46.95,60.98,13.03,CNAT b2015
2015,11581.4,22248.5,17227.7,89802.2,52.05,67.23,12.9,CNAT b2015
2016,13163.9,24112.7,18420.4,95286.9,54.59,71.46,13.82,CNAT b2015
2017,14352.0,27286.7,21432.0,102011.5,52.6,66.97,14.07,CNAT b2015
2018,14776.0,29822.5,23680.0,112985.5,49.55,62.4,13.08,CNAT b2015
2019,16765.0,32672.9,26415.0,122969.3,51.31,63.47,13.63,CNAT b2015
2020,19200.0,37702.9,29950.6,119502.1,50.92,64.11,16.07,CNAT b2015
2021,20175.4,40234.1,31059.8,131544.6,50.15,64.96,15.34,CNAT b2015
2022,21123.2,46219.2,37682.0,139444.5,45.7,56.06,15.15,CNAT b2015
2023,21696.6,48622.6,38962.6,149733.8,44.62,55.69,14.49,CNAT b2015
2024,22268.2,51180.6,40311.2,159760.6,43.51,55.24,13.94,CNAT b2015
2025,23275.8,52495.0,42307.7,172614.0,44.34,55.02,13.48,Min.Fin retro (b2015)
