annee,irpp_MDT,is_MDT,douanes_MDT,tva_MDT,consommation_MDT,autres_indirects_MDT,total_MDT,irpp_pct,is_pct,douanes_pct,tva_pct,consommation_pct,autres_indirects_pct
1986,219.1,158.4,277.8,433.4,103.6,439.7,1632.0,13.43,9.71,17.02,26.56,6.35,26.94
1987,199.6,126.7,348.8,532.6,128.5,330.6,1666.8,11.98,7.6,20.93,31.95,7.71,19.83
1988,200.3,119.7,398.8,561.4,200.1,291.8,1772.1,11.3,6.75,22.5,31.68,11.29,16.47
1989,231.9,129.6,458.0,554.6,287.8,284.1,1946.0,11.92,6.66,23.54,28.5,14.79,14.6
1990,201.7,201.4,495.6,628.7,325.7,316.1,2169.2,9.3,9.28,22.85,28.98,15.01,14.57
1991,264.5,239.1,570.1,678.8,400.9,310.596,2463.996,10.73,9.7,23.14,27.55,16.27,12.61
1992,296.2,267.1,660.5,799.9,443.4,342.39,2809.49,10.54,9.51,23.51,28.47,15.78,12.19
1993,342.3,358.3,697.0,842.7,479.2,361.008,3080.508,11.11,11.63,22.63,27.36,15.56,11.72
1994,410.0,327.7,735.4,854.8,589.3,366.385,3283.585,12.49,9.98,22.4,26.03,17.95,11.16
1995,460.3,350.5,773.0,898.9,596.2,413.479,3492.379,13.18,10.04,22.13,25.74,17.07,11.84
1996,555.7,336.3,741.0,1007.7,641.9,497.635,3780.235,14.7,8.9,19.6,26.66,16.98,13.16
1997,676.7,433.2,704.3,1169.6,722.4,524.8,4231.0,15.99,10.24,16.65,27.64,17.07,12.4
1998,771.8,514.0,714.0,1437.0,774.8,551.1,4762.7,16.21,10.79,14.99,30.17,16.27,11.57
1999,892.7,492.3,687.1,1625.2,857.8,652.9,5208.0,17.14,9.45,13.19,31.21,16.47,12.54
2000,1021.823,574.985,641.591,1792.328,916.276,731.405,5678.408,17.99,10.13,11.3,31.56,16.14,12.88
2001,1152.8,674.9,655.2,1930.0,1019.8,788.8,6221.5,18.53,10.85,10.53,31.02,16.39,12.68
2002,1213.9,810.7,594.8,1895.1,1044.9,869.8,6429.2,18.88,12.61,9.25,29.48,16.25,13.53
2003,1309.0,867.8,553.6,2006.3,1073.1,820.9,6630.7,19.74,13.09,8.35,30.26,16.18,12.38
2004,1436.8,948.4,556.7,2257.8,1150.4,901.85,7251.95,19.81,13.08,7.68,31.13,15.86,12.44
2005,1524.2,1361.94,505.94,2301.14,1211.64,999.4,7904.26,19.28,17.23,6.4,29.11,15.33,12.64
2006,1717.0,1389.8,489.85,2465.45,1254.9,1152.65,8469.65,20.27,16.41,5.78,29.11,14.82,13.61
2007,1948.8,1748.8,514.3,2660.45,1361.55,1274.1,9508.0,20.5,18.39,5.41,27.98,14.32,13.4
2008,2145.3,2415.5,584.74,3309.0,1464.8,1411.6,11330.94,18.93,21.32,5.16,29.2,12.93,12.46
2009,2379.4,2266.0,520.2,3399.7,1596.2,1523.7,11685.2,20.36,19.39,4.45,29.09,13.66,13.04
2010,2600.1,2432.6,563.9,3749.8,1563.3,1789.0,12698.7,20.48,19.16,4.44,29.53,12.31,14.09
2011,2873.0,3041.3,561.2,3848.4,1468.7,1837.3,13629.9,21.08,22.31,4.12,28.23,10.78,13.48
2012,3187.9,2901.3,715.5,4375.8,1597.6,2086.5,14864.6,21.45,19.52,4.81,29.44,10.75,14.04
2013,3707.41,3410.6,728.9,4452.0,1656.0,2366.9,16321.81,22.71,20.9,4.47,27.28,10.15,14.5
2014,4095.3,4074.1,825.3,5106.5,1850.9,2721.478,18673.578,21.93,21.82,4.42,27.35,9.91,14.57
2015,5088.4,2733.7,832.5,5058.2,1772.9,3060.1,18545.8,27.44,14.74,4.49,27.27,9.56,16.5
2016,5942.9,1633.9,639.7,5138.0,2174.2,3173.3,18702.0,31.78,8.74,3.42,27.47,11.63,16.97
2017,6204.7,2355.3,741.9,6092.0,2492.9,3299.7,21186.5,29.29,11.12,3.5,28.75,11.77,15.57
2018,6359.1,2706.1,1208.3,7424.8,2863.6,3941.4,24503.3,25.95,11.04,4.93,30.3,11.69,16.09
2019,8813.2,3835.2,1284.4,7797.4,2872.2,4298.5,28900.9,30.49,13.27,4.44,26.98,9.94,14.87
2020,8945.3,3123.0,1228.4,7200.9,2889.1,3760.3,27147.0,32.95,11.5,4.52,26.53,10.64,13.85
2021,9484.6,3196.0,1420.1,8765.0,3203.2,4335.9,30404.8,31.19,10.51,4.67,28.83,10.54,14.26
2022,10075.3,4314.68,1784.2,10174.0,3604.0,5497.2,35449.38,28.42,12.17,5.03,28.7,10.17,15.51
2023,11373.6,4657.2,1849.0,10464.0,3809.4,5884.0,38037.2,29.9,12.24,4.86,27.51,10.01,15.47
2024,12376.2,5425.8,2071.3,11253.2,3983.8,6613.6,41723.9,29.66,13.0,4.96,26.97,9.55,15.85
2025,12913.3,6511.0,2278.9,11724.5,4237.5,7084.6,44749.8,28.86,14.55,5.09,26.2,9.47,15.83
