date,smig_horaire,smig_200h,pi_cnrps,minimum_cnrps,pi_cnrps_allocation,allocation_cnrps,pi_rsna,minimum_rsna,pi_rsna_reduit,minimum_rsna_reduit,ell_rsna,limite_calcul_rsna,texte_smig,lien_smig
1974-01-01,0.13,26.0,,,,,0.66666,17.333,,,6.0,156.0,Décret n°74-63 du 31 janvier 1974  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1974/1974F/Jo01074.pdf
1975-06-01,0.145,29.0,,,,,0.66666,19.333,,,6.0,174.0,Décret n°75-357 du 03 juin 1975  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1975/1975F/Jo03875.pdf
1977-02-01,0.193,38.6,,,,,0.66666,25.733,,,6.0,231.6,Décret n°77-115 du 02 février 1977 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1977/1977F/Jo00977.pdf
1978-05-01,0.21425,42.85,,,,,0.66666,28.566,,,6.0,257.1,Décret n°78-441 du 26 avril 1978  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1978/1978F/Jo03378.pdf
1979-05-01,0.232,46.4,,,,,0.66666,30.933,,,6.0,278.4,Décret n°79-473 du 21 mai 1979  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1979/1979F/Jo03479.pdf
1980-02-01,0.23896,47.792,,,,,0.66666,31.861,,,6.0,286.752,Décret n°80-75 du 21 janvier 1980  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1980/1980F/Jo00580.pdf
1980-05-01,0.263,52.6,,,,,0.66666,35.066,,,6.0,315.6,Décret n°80-609 du 19 mai 1980 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code de travail,https://www.pist.tn/jort/1980/1980F/Jo03180.pdf
1981-04-01,0.311,62.2,,,,,0.66666,41.466,,,6.0,373.2,Décret n°81-437 du 07 avril 1981 instituant une indemnité complémentaire provisoire  dans les secteurs non agricoles régis par le code du travail,https://www.pist.tn/jort/1981/1981F/Jo02581.pdf
1981-05-01,0.311,62.2,0.66666,41.466,,,0.66666,41.466,,,6.0,373.2,Décret n°81-437 du 07 avril 1981 instituant une indemnité complémentaire provisoire  dans les secteurs non agricoles régis par le code du travail,https://www.pist.tn/jort/1981/1981F/Jo02581.pdf
1982-02-01,0.409,81.8,0.66666,54.533,,,0.66666,54.533,,,6.0,490.8,Décret n°82-501 du 16 mars 1982 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1982/1982F/Jo01982.pdf
1982-07-22,0.409,81.8,0.66666,54.533,,,0.66666,54.533,0.5,40.9,6.0,490.8,Décret n°82-501 du 16 mars 1982 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1982/1982F/Jo01982.pdf
1983-01-01,0.457,91.4,0.66666,60.933,,,0.66666,60.933,0.5,45.7,6.0,548.4,Décret n°83-509 du 04 juin 1983 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1983/1983F/Jo04283.pdf
1985-09-12,0.457,91.4,0.66666,60.933,0.5,45.7,0.66666,60.933,0.5,45.7,6.0,548.4,Décret n°83-509 du 04 juin 1983 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1983/1983F/Jo04283.pdf
1986-07-01,0.481,96.2,0.66666,64.133,0.5,48.1,0.66666,64.133,0.5,48.1,6.0,577.2,Décret n°86-689 du 20 juillet 1986 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1986/1986F/Jo04186.pdf
1987-11-01,0.505,101.0,0.66666,67.333,0.5,50.5,0.66666,67.333,0.5,50.5,6.0,606.0,Décret n°87-1277 du 05 novembre 1987 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1987/1987F/Jo07887.pdf
1988-04-01,0.529,105.8,0.66666,70.533,0.5,52.9,0.66666,70.533,0.5,52.9,6.0,634.8,Décret n°88-889 du 05 mai 1988 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1988/1988F/Jo03188.pdf
1990-01-01,0.577,115.4,0.66666,76.933,0.5,57.7,0.66666,76.933,0.5,57.7,6.0,692.4,"Décret n° 90-246 du 5 février 1990, fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail, article premier",https://www.pist.tn/jort/1990/1990F/Jo01390.pdf
1992-05-01,0.639,127.8,0.66666,85.199,0.5,63.9,0.66666,85.199,0.5,63.9,6.0,766.8,"Décret n° 92-1299 du 13 juillet 1992, fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail, articles premier et 3",https://www.pist.tn/jort/1992/1992F/Jo04992.pdf
1992-08-01,0.649,129.8,0.66666,86.532,0.5,64.9,0.66666,86.532,0.5,64.9,6.0,778.8,Décret n°92-1630 du 07 septembre 1992 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1992/1992F/Jo06392.pdf
1993-05-01,0.687,137.4,0.66666,91.599,0.5,68.7,0.66666,91.599,0.5,68.7,6.0,824.4,Décret n°93-1256 du 07 juin 1993 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1993/1993F/Jo04493.pdf
1993-08-01,0.697,139.4,0.66666,92.932,0.5,69.7,0.66666,92.932,0.5,69.7,6.0,836.4,Décret n°93-1838 du 06 septembre 1993 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1993/1993F/Jo06993.pdf
1994-08-01,0.707,141.4,0.66666,94.266,0.5,70.7,0.66666,94.266,0.5,70.7,6.0,848.4,Décret n°94-1804 du 29 août 1994 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1994/1994F/Jo07194.pdf
1995-05-01,0.741,148.2,0.66666,98.799,0.5,74.1,0.66666,98.799,0.5,74.1,6.0,889.2,Décret n°95-900 du 15 mai 1995 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1995/1995F/Jo04095.pdf
1996-05-01,0.77,154.0,0.66666,102.666,0.5,77.0,0.66666,102.666,0.5,77.0,6.0,924.0,Décret n°96-1013 du 27 mai 1996 fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1996/1996F/Jo04596.pdf
1996-09-09,0.78,156.0,0.66666,103.999,0.5,78.0,0.66666,103.999,0.5,78.0,6.0,936.0,Décret n°96-1547 du 10 septembre 1996  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1996/1996F/Jo07496.pdf
1997-07-20,0.79,158.0,0.66666,105.332,0.5,79.0,0.66666,105.332,0.5,79.0,6.0,948.0,Décret n°97-1521 du 04 août 1997  fixant le salaire minimum interprofessionnel garanti dans les secteurs non agricoles régis par le code du travail.,https://www.pist.tn/jort/1997/1997F/Jo06397.pdf
