bareme,annee_salaires,coefficient,arrete,lien
1994-07-01,1961,6.48469,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1962,6.355,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1963,6.18793,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1964,5.93925,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1965,5.56968,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1966,5.36287,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1967,5.20902,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1968,5.07588,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1969,4.88095,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1970,4.82903,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1971,4.55556,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
1994-07-01,1972,4.46278,"Arrêté du ministre des affaires sociales du 17 novembre 1994, relatif à la fixation du barème d'actualisation des salaires pris en compte dans le calcul des pensions de vieillesse, d'invalidité et de survivants, article premier",https://www.pist.tn/jort/1994/1994F/Jo09394.pdf
