# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-09
# séries (tunisia_data) : depenses-fiscales-detail
# sources (citation) : @gbo-depenses-fiscales
# fiches : sources/gbo-depenses-fiscales.md
# méthode/hypothèses : sources/gbo-depenses-fiscales.md
# note : الإجراءات الاستثنائية الثمانية الأكثر كلفة، من 2017 إلى 2023
السنة,الرمز,الضريبة,الكلفة (م.د),الإجراء,التقرير
2017,121107702,is,118.322,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2021
2018,121107702,is,128.996,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2021
2019,121107702,is,146.49,Déduction des bénéfices souscrits au capital des sociétés d'investissement à capital risque ou placés auprès d'elles sous forme de fonds à capital risque ou aux parts des fonds communs de placement à risque qui emploient le capital souscrit et libéré ou les montants déposés sous forme de fonds à capital risque dans la souscription aux actions ou aux parts sociales ou aux obligations convertibles en actions émises par les entreprises qui ouvrent droit aux avantages fiscaux de l'assiette soumises à l'impôt sur les sociétés,LF2021
2017,121601202,is,182.177,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2021
2018,121601202,is,184.524,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2021
2019,121601202,is,47.793,Déduction des bénéfices provenant de l'activité des entreprises totalement exportatrices de l'assiette soumises à l'impôt sur les sociétés (100% & 50%),LF2021
2017,212001308,douanes,21.27,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2021
2018,212001308,douanes,15.07,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2021
2019,212001308,douanes,10.463,Réduction des droits de douane dus à l'importation des aliments fourragers,LF2021
2017,222001331,tva,161.67,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2021
2018,222001331,tva,254.437,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2021
2019,222001331,tva,173.949,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des produits alimentaires de consommation,LF2021
2017,222001333,tva,200.338,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2021
2018,222001333,tva,247.719,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2021
2019,222001333,tva,274.453,Suspension de la taxe sur la valeur ajoutée due à l'importation ou l'acquisition sur le marché local des médicaments et des produits paramédicaux,LF2021
2017,232000801,consommation,593.433,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2021
2018,232000801,consommation,692.238,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2021
2019,232000801,consommation,643.521,Réduction du taux du droit de consommation dû à l'importation des véhicules de tourisme par les concessionnaires automobiles et aux véhicules multi usages qui peuvent être utilisés pour le transport de personnes et de marchandises,LF2021
