# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-16
# séries (tunisia_data) : recettes-fiscales-composition, irpp-ratios
# sources (citation) : @minfin-recettes-fiscales, @minfin-indicateurs-fp
# fiches : sources/minfinances-recettes-fiscales.md
# méthode/hypothèses : sources/minfinances-recettes-fiscales.md
# note : مردودية المعلوم على الاستهلاك مقارنة بالناتج المحلي الإجمالي ونفقات الدولة، 1986-2025
السنة,% من الناتج المحلي الإجمالي (وزارة المالية),% من نفقات الدولة,% من الناتج المحلي الإجمالي (الحسابات القومية),% من المداخيل الجبائية,المعلوم على الاستهلاك (م.د)
1986,1.45,,,6.35,103.6
1987,1.6,,,7.71,128.5
1988,2.31,,,11.29,200.1
1989,3.0,,,14.79,287.8
1990,3.01,10.24,3.01,15.01,325.7
1991,3.33,11.41,3.33,16.27,400.9
1992,3.24,12.13,3.24,15.78,443.4
1993,3.27,11.94,3.27,15.56,479.2
1994,3.73,13.78,3.73,17.95,589.3
1995,3.5,13.01,3.5,17.07,596.2
1996,3.37,13.21,3.37,16.98,641.9
1997,3.15,13.65,3.15,17.07,722.4
1998,3.12,13.82,3.12,16.27,774.8
1999,3.15,13.91,3.15,16.47,857.8
2000,3.11,13.8,3.11,16.14,916.276
2001,3.21,14.15,3.21,16.39,1019.8
2002,3.25,13.9,3.25,16.25,1044.9
2003,3.1,13.53,3.1,16.18,1073.1
2004,3.06,13.49,3.06,15.86,1150.4
2005,2.89,13.18,2.89,15.33,1211.64
2006,2.74,12.58,2.74,14.82,1254.9
2007,2.73,12.19,2.73,14.32,1361.55
2008,2.65,11.45,2.65,12.93,1464.8
2009,2.71,11.26,2.71,13.66,1596.2
2010,2.36,10.96,2.36,12.31,1563.3
2011,2.17,8.57,2.17,10.78,1468.7
2012,2.16,8.35,2.27,10.75,1597.6
2013,2.09,7.52,2.2,10.15,1656.0
2014,2.17,8.24,2.29,9.91,1850.9
2015,1.97,7.97,1.97,9.56,1772.9
2016,2.28,9.02,2.28,11.63,2174.2
2017,2.44,9.14,2.44,11.77,2492.9
2018,2.53,9.6,2.53,11.69,2863.6
2019,2.34,8.79,2.34,9.94,2872.2
2020,2.42,7.66,2.42,10.64,2889.1
2021,2.44,7.96,2.44,10.54,3203.2
2022,2.58,7.8,2.58,10.17,3604.0
2023,2.54,7.83,2.54,10.01,3809.4
2024,2.49,7.78,2.49,9.55,3983.8
2025,2.45,8.07,2.45,9.47,4237.5
