# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-15
# séries (tunisia_data) : recettes-fiscales-composition, irpp-ratios
# sources (citation) : @minfin-recettes-fiscales, @minfin-indicateurs-fp
# fiches : sources/minfinances-recettes-fiscales.md
# méthode/hypothèses : sources/minfinances-recettes-fiscales.md
# note : مردودية الضريبة على القيمة المضافة مقارنة بالناتج المحلي الإجمالي وبنفقات الدولة، 1986-2025
السنة,% من الناتج المحلي الإجمالي (وزارة المالية),% من نفقات الدولة,% من الناتج المحلي الإجمالي (الحسابات القومية),% من المداخيل الجبائية,الأداء على القيمة المضافة (م.د)
1986,6.05,,,26.56,433.4
1987,6.63,,,31.95,532.6
1988,6.48,,,31.68,561.4
1989,5.78,,,28.5,554.6
1990,5.81,19.76,5.81,28.98,628.7
1991,5.64,19.32,5.64,27.55,678.8
1992,5.84,21.88,5.84,28.47,799.9
1993,5.75,20.99,5.75,27.36,842.7
1994,5.41,19.99,5.41,26.03,854.8
1995,5.27,19.61,5.27,25.74,898.9
1996,5.29,20.74,5.29,26.66,1007.7
1997,5.1,22.1,5.1,27.64,1169.6
1998,5.79,25.62,5.79,30.17,1437.0
1999,5.97,26.36,5.97,31.21,1625.2
2000,6.09,27.0,6.09,31.56,1792.328
2001,6.08,26.79,6.08,31.02,1930.0
2002,5.9,25.21,5.9,29.48,1895.1
2003,5.79,25.3,5.79,30.26,2006.3
2004,6.0,26.48,6.0,31.13,2257.8
2005,5.5,25.04,5.5,29.11,2301.14
2006,5.39,24.72,5.39,29.11,2465.45
2007,5.33,23.83,5.33,27.98,2660.45
2008,5.98,25.87,5.98,29.2,3309.0
2009,5.77,23.98,5.77,29.09,3399.7
2010,5.67,26.28,5.67,29.53,3749.8
2011,5.68,22.45,5.68,28.23,3848.4
2012,5.92,22.86,6.22,29.44,4375.8
2013,5.63,20.23,5.92,27.28,4452.0
2014,5.98,22.74,6.31,27.35,5106.5
2015,5.63,22.74,5.63,27.27,5058.2
2016,5.39,21.31,5.39,27.47,5138.0
2017,5.97,22.33,5.97,28.75,6092.0
2018,6.57,24.9,6.57,30.3,7424.8
2019,6.34,23.87,6.34,26.98,7797.4
2020,6.03,19.1,6.03,26.53,7200.9
2021,6.66,21.79,6.66,28.83,8765.0
2022,7.3,22.01,7.3,28.7,10174.0
2023,6.99,21.52,6.99,27.51,10464.0
2024,7.04,21.99,7.04,26.97,11253.2
2025,6.79,22.33,6.79,26.2,11724.5
