# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-25
# séries (tunisia_data) : pnafn-allocation
# sources (citation) : @arrete-2024-07-10-allocation-pauvres
# fiches : 
# méthode/hypothèses : Les dates de tous les paliers et les montants antérieurs à 180 dinars restent à fiabiliser.
# note : المنحة الشهرية للبرنامج الوطني لمساعدة العائلات المعوزة، 1987-2018
تاريخ الحالة,المنحة الشهرية (بالدينار الجاري),القيمة عند تغيّر المستوى (بالدينار الثابت لسنة 2015),الإثبات
1 جانفي 1987,"7,7","26,1",يحتاج إلى توثيق
1 جانفي 2000,"36,3","64,7",يحتاج إلى توثيق
1 جانفي 2009,"53,333","71,3",يحتاج إلى توثيق
1 جويلية 2009,"56,666","75,8",يحتاج إلى توثيق
1 جويلية 2010,"63,333","81,1",يحتاج إلى توثيق
1 جويلية 2011,70,"86,6",يحتاج إلى توثيق
1 أفريل 2012,100,"117,2",يحتاج إلى توثيق
1 جويلية 2013,110,"121,5",يحتاج إلى توثيق
1 جويلية 2014,120,"125,7",يحتاج إلى توثيق
1 جانفي 2015,150,150,يحتاج إلى توثيق
1 أفريل 2018,180,"153,3",يحتاج إلى توثيق
