# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : fonction-publique-categories
# sources (citation) : @ins-fonction-publique-2021
# fiches : sources/ins-fonction-publique-salaires-2010-2021.md
# méthode/hypothèses : catégories statutaires A1/A2/A3/B/C/D ; champ = fonctionnaires (tab8 INS)
# note : موظفو الدولة حسب الصنف النظامي، 2015-2021
السنة,A1,A2,A3,B,C,D,العملة، الوحدة الأولى (للمقارنة),المصدر
2015,98.7,166.3,78.0,59.5,48.5,23.1,,المعهد الوطني للإحصاء، مسح 2010-2021
2016,139.5,150.9,67.8,54.8,50.2,22.6,,المعهد الوطني للإحصاء، مسح 2010-2021
2017,143.5,163.2,55.6,57.4,50.7,26.0,,المعهد الوطني للإحصاء، مسح 2010-2021
2018,151.3,154.4,53.1,59.7,55.1,29.5,63.8,المعهد الوطني للإحصاء، تقرير 2018-2025
2019,166.3,145.1,51.3,61.5,50.6,29.0,63.3,المعهد الوطني للإحصاء، تقرير 2018-2025
2020,177.4,158.8,39.1,65.8,41.1,29.6,58.7,المعهد الوطني للإحصاء، تقرير 2018-2025
2021,198.3,155.3,36.4,67.4,31.8,29.1,55.8,المعهد الوطني للإحصاء، تقرير 2018-2025
2022,199.6,158.4,34.5,64.5,33.5,29.0,50.9,المعهد الوطني للإحصاء، تقرير 2018-2025
2023,196.9,161.0,33.1,62.7,33.9,28.4,48.9,المعهد الوطني للإحصاء، تقرير 2018-2025
2024,192.7,156.8,32.5,62.5,33.9,39.8,35.4,المعهد الوطني للإحصاء، تقرير 2018-2025
2025,194.2,163.2,32.8,61.5,31.2,40.0,36.9,المعهد الوطني للإحصاء، تقرير 2018-2025
