# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : fonction-publique-effectifs
# sources (citation) : @ins-fonction-publique-2021
# fiches : sources/ins-fonction-publique-salaires-2010-2021.md
# méthode/hypothèses : rupture de série collectivités locales 2016→2017 (changement de périmètre/comptage)
# note : أعداد أعوان الوظيفة العمومية التونسية، 2015-2021
السنة,باستثناء الجماعات المحلية,الجماعات المحلية,إجمالي الوظيفة العمومية,المصدر
2015,595.0,6.9,601.9,المعهد الوطني للإحصاء، مسح 2010-2021
2016,615.7,6.7,622.4,المعهد الوطني للإحصاء، مسح 2010-2021
2017,625.2,17.7,642.9,المعهد الوطني للإحصاء، مسح 2010-2021
2018,630.742,21.483,652.225,المعهد الوطني للإحصاء، تقرير 2018-2025
2019,633.665,25.216,658.881,المعهد الوطني للإحصاء، تقرير 2018-2025
2020,637.112,27.083,664.195,المعهد الوطني للإحصاء، تقرير 2018-2025
2021,641.87,27.42,669.29,المعهد الوطني للإحصاء، تقرير 2018-2025
2022,637.03,27.697,664.727,المعهد الوطني للإحصاء، تقرير 2018-2025
2023,632.083,26.925,659.008,المعهد الوطني للإحصاء، تقرير 2018-2025
2024,620.687,26.468,647.155,المعهد الوطني للإحصاء، تقرير 2018-2025
2025,625.801,26.697,652.498,المعهد الوطني للإحصاء، تقرير 2018-2025
