# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-19
# séries (tunisia_data) : recettes-fiscales-composition, irpp-ratios
# sources (citation) : @minfin-recettes-fiscales, @minfin-indicateurs-fp
# fiches : sources/minfinances-recettes-fiscales.md
# méthode/hypothèses : sources/minfinances-recettes-fiscales.md
# note : Ce que rapporte l'impôt sur les sociétés, 1986-2025
Année,% du PIB (ministère des Finances),% des dépenses de l'État,% du PIB (comptes nationaux),% des recettes fiscales,Impôt sur les sociétés (MDT)
1986,2.21,,,9.71,158.4
1987,1.58,,,7.6,126.7
1988,1.38,,,6.75,119.7
1989,1.35,,,6.66,129.6
1990,1.86,6.33,1.86,9.28,201.4
1991,1.99,6.8,1.99,9.7,239.1
1992,1.95,7.3,1.95,9.51,267.1
1993,2.44,8.93,2.44,11.63,358.3
1994,2.07,7.66,2.07,9.98,327.7
1995,2.06,7.65,2.06,10.04,350.5
1996,1.76,6.92,1.76,8.9,336.3
1997,1.89,8.18,1.89,10.24,433.2
1998,2.07,9.17,2.07,10.79,514.0
1999,1.81,7.99,1.81,9.45,492.3
2000,1.95,8.66,1.95,10.13,574.985
2001,2.13,9.37,2.13,10.85,674.9
2002,2.52,10.79,2.52,12.61,810.7
2003,2.51,10.94,2.51,13.09,867.8
2004,2.52,11.12,2.52,13.08,948.4
2005,3.25,14.82,3.25,17.23,1361.94
2006,3.04,13.93,3.04,16.41,1389.8
2007,3.51,15.66,3.51,18.39,1748.8
2008,4.37,18.88,4.37,21.32,2415.5
2009,3.85,15.99,3.85,19.39,2266.0
2010,3.68,17.05,3.68,19.16,2432.6
2011,4.49,17.74,4.49,22.31,3041.3
2012,3.93,15.16,4.12,19.52,2901.3
2013,4.31,15.49,4.54,20.9,3410.6
2014,4.77,18.15,5.04,21.82,4074.1
2015,3.04,12.29,3.04,14.74,2733.7
2016,1.71,6.78,1.71,8.74,1633.9
2017,2.31,8.63,2.31,11.12,2355.3
2018,2.4,9.07,2.4,11.04,2706.1
2019,3.12,11.74,3.12,13.27,3835.2
2020,2.61,8.28,2.61,11.5,3123.0
2021,2.43,7.94,2.43,10.51,3196.0
2022,3.09,9.34,3.09,12.17,4314.68
2023,3.11,9.58,3.11,12.24,4657.2
2024,3.4,10.6,3.4,13.0,5425.8
2025,3.77,12.4,3.77,14.55,6511.0
