# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-09
# séries (tunisia_data) : irpp-ratios
# sources (citation) : @minfin-recettes-fiscales, @minfin-indicateurs-fp
# fiches : sources/minfinances-recettes-fiscales.md
# méthode/hypothèses : sources/minfinances-recettes-fiscales.md
# note : Rendement de l'impôt sur le revenu rapporté au PIB et aux dépenses de l'État, 1986-2025
Année,Impôt sur le revenu (MDT),% du PIB,% des dépenses de l'État,% des recettes fiscales,Part des salaires dans l'impôt (%)
1986,219.1,3.06,,13.43,58.79
1987,199.6,2.48,,11.98,66.23
1988,200.3,2.31,,11.3,70.64
1989,231.9,2.42,,11.92,71.45
1990,201.7,1.86,6.34,9.3,82.85
1991,264.5,2.2,7.53,10.73,67.98
1992,296.2,2.16,8.1,10.54,78.36
1993,342.3,2.33,8.53,11.11,75.37
1994,410.0,2.59,9.59,12.49,77.88
1995,460.3,2.7,10.04,13.18,77.04
1996,555.7,2.91,11.44,14.7,72.38
1997,676.7,2.95,12.79,15.99,70.58
1998,771.8,3.11,13.76,16.21,71.04
1999,892.7,3.28,14.48,17.14,72.19
2000,1021.823,3.47,15.39,17.99,72.66
2001,1152.8,3.63,16.0,18.53,72.13
2002,1213.9,3.78,16.15,18.88,75.25
2003,1309.0,3.78,16.5,19.74,76.84
2004,1436.8,3.82,16.85,19.81,75.31
2005,1524.2,3.64,16.58,19.28,76.1
2006,1717.0,3.75,17.21,20.27,75.75
2007,1948.8,3.91,17.45,20.5,75.6
2008,2145.3,3.88,16.77,18.93,74.88
2009,2379.4,4.04,16.79,20.36,77.45
2010,2600.1,3.93,18.22,20.48,77.13
2011,2873.0,4.24,16.76,21.08,80.95
2012,3187.9,4.31,16.65,21.45,82.81
2013,3707.41,4.69,16.84,22.71,82.75
2014,4095.3,4.8,18.24,21.93,79.6
2015,5088.4,5.67,22.87,27.44,69.9
2016,5942.9,6.24,24.65,31.78,69.1
2017,6204.7,6.08,22.74,29.29,64.93
2018,6359.1,5.63,21.32,25.95,60.24
2019,8813.2,7.17,26.97,30.49,62.27
2020,8945.3,7.49,23.73,32.95,64.98
2021,9484.6,7.21,23.57,31.19,67.67
2022,10075.3,7.23,21.8,28.42,70.04
2023,11373.6,7.6,23.39,29.9,69.51
2024,12376.2,7.75,24.18,29.66,68.74
2025,12913.3,7.48,24.6,28.86,66.31
