# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-09
# séries (tunisia_data) : recettes-fiscales-composition
# sources (citation) : @minfin-recettes-fiscales
# fiches : sources/minfinances-recettes-fiscales.md
# méthode/hypothèses : sources/minfinances-recettes-fiscales.md
# note : Composition des recettes fiscales de l'État, 1986-2025
Année,Impôt sur le revenu,Impôt sur les sociétés,TVA,Droits de consommation,Droits de douanes,Autres impôts indirects
1986,13.43,9.71,26.56,6.35,17.02,26.94
1987,11.98,7.6,31.95,7.71,20.93,19.83
1988,11.3,6.75,31.68,11.29,22.5,16.47
1989,11.92,6.66,28.5,14.79,23.54,14.6
1990,9.3,9.28,28.98,15.01,22.85,14.57
1991,10.73,9.7,27.55,16.27,23.14,12.61
1992,10.54,9.51,28.47,15.78,23.51,12.19
1993,11.11,11.63,27.36,15.56,22.63,11.72
1994,12.49,9.98,26.03,17.95,22.4,11.16
1995,13.18,10.04,25.74,17.07,22.13,11.84
1996,14.7,8.9,26.66,16.98,19.6,13.16
1997,15.99,10.24,27.64,17.07,16.65,12.4
1998,16.21,10.79,30.17,16.27,14.99,11.57
1999,17.14,9.45,31.21,16.47,13.19,12.54
2000,17.99,10.13,31.56,16.14,11.3,12.88
2001,18.53,10.85,31.02,16.39,10.53,12.68
2002,18.88,12.61,29.48,16.25,9.25,13.53
2003,19.74,13.09,30.26,16.18,8.35,12.38
2004,19.81,13.08,31.13,15.86,7.68,12.44
2005,19.28,17.23,29.11,15.33,6.4,12.64
2006,20.27,16.41,29.11,14.82,5.78,13.61
2007,20.5,18.39,27.98,14.32,5.41,13.4
2008,18.93,21.32,29.2,12.93,5.16,12.46
2009,20.36,19.39,29.09,13.66,4.45,13.04
2010,20.48,19.16,29.53,12.31,4.44,14.09
2011,21.08,22.31,28.23,10.78,4.12,13.48
2012,21.45,19.52,29.44,10.75,4.81,14.04
2013,22.71,20.9,27.28,10.15,4.47,14.5
2014,21.93,21.82,27.35,9.91,4.42,14.57
2015,27.44,14.74,27.27,9.56,4.49,16.5
2016,31.78,8.74,27.47,11.63,3.42,16.97
2017,29.29,11.12,28.75,11.77,3.5,15.57
2018,25.95,11.04,30.3,11.69,4.93,16.09
2019,30.49,13.27,26.98,9.94,4.44,14.87
2020,32.95,11.5,26.53,10.64,4.52,13.85
2021,31.19,10.51,28.83,10.54,4.67,14.26
2022,28.42,12.17,28.7,10.17,5.03,15.51
2023,29.9,12.24,27.51,10.01,4.86,15.47
2024,29.66,13.0,26.97,9.55,4.96,15.85
2025,28.86,14.55,26.2,9.47,5.09,15.83
