tableau,ordre,position,produit,colonne,valeur,unite,date_effet,date_fin,texte,article,statut
advalorem-1988,0,,Foies de volailles ; pistaches ; café ; thé,Taux 1988,11,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,1,,"Feuillages pour bouquets ; fruits exotiques ; poivre, vanille, cannelle ; tabacs bruts",Taux 1988,25,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,2,,Autres fruits à coques,Taux 1988,47,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,3,,"Ivoire, poudre et déchets d'ivoire ; marbres blancs",Taux 1988,60,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,4,,Tabacs fabriqués,Taux 1988,102,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,5,,Dragées contenant une liqueur alcoolique,Taux 1988,110,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,6,,Caviar et succédanés,Taux 1988,135,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,7,,"Extraits ou essence de café, y compris le café soluble",Taux 1988,160,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,8,,Artifices pour divertissements,Taux 1988,200,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,9,,Autres vins,Taux 1988,150,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,10,,Vermouths,Taux 1988,180,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,11,,Vins de liqueurs et vins mousseux,Taux 1988,190,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,12,,Bières,Taux 1988,268,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,13,,"Pastis, ricard, anisette et thibarine",Taux 1988,534,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,14,,Whisky et spiritueux de fabrication locale,Taux 1988,350,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,15,,Whisky et spiritueux importés,Taux 1988,580,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,16,,Boukha,Taux 1988,612,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
advalorem-1988,17,,Champagne,Taux 1988,470,%,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,0,22-08,alcool éthylique non dénaturé de tous titres,Tarif 1988,380,D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,1,22-08,alcool éthylique dénaturé de tous titres,Tarif 1988,"4,192",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,2,Ex 22-09,préparations alcooliques à usage autre que la fabrication de boissons alcoolisées,Tarif 1988,"10,480",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,3,Ex 22-09,préparations alcooliques destinées à la fabrication de boissons alcoolisées,Tarif 1988,380,D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,4,27-09,huiles brutes de pétrole ou de minéraux bitumineux,Tarif 1988,"0,400",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,5,27-10,essence super,Tarif 1988,"15,228",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,6,27-10,essence normale,Tarif 1988,"14,630",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,7,27-10,"essence avion (kérosène), y compris carburéacteur",Tarif 1988,"1,990",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,8,27-10,white spirit non dénaturé,Tarif 1988,"1,690",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,9,27-10,pétrole lampant,Tarif 1988,"1,125",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,10,27-10,gas-oil,Tarif 1988,"2,887",D/hl,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,11,27-10,fuel-oil domestique,Tarif 1988,"4,972",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,12,27-10,fuel-oil léger,Tarif 1988,"3,900",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,13,27-10,fuel-oil lourd,Tarif 1988,"1,719",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
specifiques-1988,14,27-10,huiles de graissage et lubrifiants,Tarif 1988,"0,997",D/100 kg,1988-07-01,,loi-88-62-droit-consommation,tableau annexé,lu
