cycle,texte,nature,date_effet,categorie,montant,unite,statut
2015-2018,decret2015-462,majoration d'indemnités spécifiques,,tous,50,D/mois,date non établie
2015-2018,decret2016-1,augmentation générale,2016-01-01,A1,60,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,A1,60,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,A2,60,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,A2,60,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,A3,55,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,A3,55,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,B,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,B,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,C,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,C,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,D,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,D,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2016-01-01,ouvriers,50,D/mois,lu
2015-2018,decret2016-1,augmentation générale,2017-01-01,ouvriers,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,A1,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,A1,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,A1,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,A2,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,A2,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,A2,50,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,A3,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,A3,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,A3,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,B,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,B,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,B,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,C,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,C,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,C,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,D,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,D,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,D,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,ouvriers 3e unité,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,ouvriers 3e unité,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,ouvriers 3e unité,45,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2016-07-01,autres ouvriers,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2017-04-01,autres ouvriers,35,D/mois,lu
2015-2018,decret2016-1,augmentation spécifique,2018-04-01,autres ouvriers,35,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,A1,90,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,A2,90,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,A3,80,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,B,75,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,C,70,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,D,70,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,ouvriers 3e unité,75,D/mois,lu
2019-2020,decret2019-209,augmentation générale,2019-03-01,autres ouvriers,70,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,A1,40,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,A1,50,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,A2,40,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,A2,50,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,A3,40,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,A3,50,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,B,35,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,B,45,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,C,30,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,C,35,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2019-07-01,D,30,D/mois,lu
2019-2020,decret2019-1133,augmentation générale,2020-01-01,D,35,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,A1,90,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,A2,90,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,A3,75,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,B,70,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,C,70,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,D,70,D/mois,lu
2019-2020,decret2020-767,augmentation générale,2020-08-01,ouvriers,70,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,A1,100,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,A1,100,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,A1,100,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,A2,90,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,A2,90,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,A2,90,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,A3,73,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,A3,73,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,A3,74,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,B,70,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,B,70,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,B,70,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,C,65,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,C,65,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,C,65,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2022-10-01,D,65,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2024-01-01,D,65,D/mois,lu
2023-2025,decret-2022-797,augmentation générale,2025-01-01,D,65,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,A1,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,A1,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,A1,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,A2,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,A2,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,A2,120,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,A3,100,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,A3,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,A3,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,B,100,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,B,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,B,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,C,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,C,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,C,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,D,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,D,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,D,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,ouvriers 3e unité,100,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,ouvriers 3e unité,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,ouvriers 3e unité,105,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2026-01-01,autres ouvriers,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2027-01-01,autres ouvriers,90,D/mois,lu
2026-2028,decret2026-63,augmentation générale,2028-01-01,autres ouvriers,90,D/mois,lu
