# Figure-data du précis socio-fiscal tunisien — généré le 2026-06-09
# séries (tunisia_data) : masse-salariale-ratios
# sources (citation) : @minfin-remunerations, @minfin-indicateurs-fp, @ins-cnat-2015
# fiches : sources/minfinances-indicateurs.md
# méthode/hypothèses : docs/hypotheses-series-masse-salariale.md
# note : masse salariale / PIB et / dépenses, 1990-2025
annee,ms_sur_pib_pct,ms_sur_depenses_totales_pct
1990,11.49,39.07
1991,11.71,40.1
1992,11.45,42.94
1993,11.72,42.8
1994,12.06,44.59
1995,12.26,45.61
1996,10.45,41.03
1997,10.0,43.33
1998,10.04,44.44
1999,9.94,43.89
2000,10.67,47.32
2001,10.79,47.53
2002,11.47,49.02
2003,11.46,50.03
2004,11.31,49.87
2005,10.96,49.95
2006,10.78,49.45
2007,10.68,47.71
2008,10.42,45.04
2009,10.7,44.44
2010,10.26,47.56
2011,11.34,44.8
2012,12.3,45.22
2013,12.79,43.65
2014,13.03,46.95
2015,12.9,52.05
2016,13.82,54.59
2017,14.07,52.6
2018,13.08,49.55
2019,13.63,51.31
2020,16.07,50.92
2021,15.34,50.15
2022,15.15,45.7
2023,14.49,44.62
2024,13.94,43.51
2025,13.48,44.34
