# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-18
# séries (tunisia_data) : augmentations-fonction-publique
# sources (citation) : @decret2015-462, @decret2016-1, @decret2019-209, @decret2019-1133, @decret2020-767, @decret-2022-797, @decret2026-63
# fiches : 
# méthode/hypothèses : Les décrets fixent des montants en dinars, jamais des pourcentages. Le cumul tracé additionne les tranches acquises : il est calculé, et ne figure comme tel dans aucun texte. Le décret n° 2015-462 n'énonce aucune date d'effet et reste hors de la série. Avant 2015, les augmentations étaient accordées par corps et ne se rangent pas par catégorie.
# note : Augmentations générales cumulées par catégorie statutaire, 2016-2028
Date d'effet,A1,A2,A3,B,C,D
1er janvier 2016,60,60,55,50,50,50
1er juillet 2016,110,110,100,95,85,85
1er janvier 2017,170,170,155,145,135,135
1er avril 2017,220,220,200,190,170,170
1er avril 2018,270,270,245,235,205,205
1er mars 2019,360,360,325,310,275,275
1er juillet 2019,400,400,365,345,305,305
1er janvier 2020,450,450,415,390,340,340
1er août 2020,540,540,490,460,410,410
1er octobre 2022,640,630,563,530,475,475
1er janvier 2024,740,720,636,600,540,540
1er janvier 2025,840,810,710,670,605,605
1er janvier 2026,960,930,810,770,695,695
1er janvier 2027,1080,1050,915,875,785,785
1er janvier 2028,1200,1170,1020,980,875,875
