# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-26
# séries (tunisia_data) : fonction-publique-effectifs, fonction-publique-categories, fonction-publique-effectifs-2018-2025, fonction-publique-categories-2018-2025, bct-emploi-occupe
# sources (citation) : @ins-fonction-publique-2021, @ins-fonction-publique-2025, @bct-ra
# fiches : sources/ins-fonction-publique-salaires-2010-2021.md, sources/ins-fonction-publique-2018-2025.md, sources/bct-archives.md
# méthode/hypothèses : rupture de série collectivités locales 2016→2017 (changement de périmètre/comptage), catégories statutaires A1/A2/A3/B/C/D ; champ = fonctionnaires (tab8 INS), EN AGENTS, et non en milliers comme `fonction-publique-effectifs` (2015-2021), qu'elle recoupe à l'arrondi près sur 2018-2021 (652 225 contre 652,2 milliers en 2018). COUVERTURE CROISSANTE DES COLLECTIVITÉS LOCALES : le rapport avertit que leur évolution « doit être interprétée en tenant compte de l'évolution du champ de couverture de la base INSAF », l'intégration progressive de nouvelles collectivités ayant amélioré l'exhaustivité du fichier ; la hausse de 21 483 (2018) à 26 697 agents (2025) mêle donc recrutements et extension du champ. Source administrative (base INSAF) ; effectif en décembre, précisé par le rapport pour 2025., Prolonge `fonction-publique-categories` (2015-2021), qu'elle reproduit à l'identique sur 2018-2020 et à l'arrondi en 2021 ; même libellés. Écarts d'arrondi de 0,1 millier entre la somme des catégories et le total (2019, 2023), et entre ce total et les fonctionnaires du tableau 5 en 2024 (518,2 contre 518,1). La catégorie D passe de 28,4 (2023) à 39,8 milliers (2024) sans que le rapport l'explique ; le mouvement est contemporain de la baisse de l'unité 1 des ouvriers (48,9 → 35,4 milliers), rapprochement qui n'est qu'une hypothèse., SÉRIE RECONSTITUÉE : aucun rapport ne la publie d'un seul tenant, chacun n'en donnant que quatre à sept millésimes ; elle est recollée à travers 14 rapports. ARBITRAGE : le millésime le plus récent fait foi, les valeurs écartées étant consignées dans emploi_occupe_conflits.csv plutôt qu'effacées — l'écart entre publications est lui-même un fait. Les révisions sont parfois massives : 2015 a été publié 3.822, puis 3.516, puis 3.401 et 3.402 ; la première valeur est contredite par la prose du rapport qui la porte (« la population active occupée a diminué de 0,4 % »). PAS D'EXTENSION AVANT 2007 : 52 des 66 rapports ne portent pas ce tableau, qui n'apparaît pas dans les millésimes anciens. Le repérage se fait PAR LE TITRE : la numérotation n'est pas stable (n° 2-6 en 2024, 2-7 en 2011, 2015 et 2017). ANNÉE 2020 : le dénominateur s'effondre de 3.566 à 3.433 ; tout ratio bâti dessus monte mécaniquement sans qu'aucun numérateur ait bougé.
# note : Poids de la fonction publique civile dans la population active occupée, 2015-2024
Année,Agents (milliers),Fonctionnaires (milliers),Actifs occupés (milliers),Part des agents (%),Part des fonctionnaires (%)
2015,601.9,474.1,3402,17.7,13.9
2016,622.4,485.8,3437,18.1,14.1
2017,642.9,496.4,3480,18.5,14.3
2018,652.2,503.1,3508,18.6,14.3
2019,658.9,503.8,3566,18.5,14.1
2020,664.2,511.8,3433,19.3,14.9
2021,669.3,518.3,3487,19.2,14.9
2022,664.7,519.5,3500,19.0,14.8
2023,659.0,516.0,3416,19.3,15.1
2024,647.2,518.2,3512,18.4,14.8
