# Figure-data du précis socio-fiscal tunisien — généré le 2026-08-26
# séries (tunisia_data) : masse-salariale-ratios
# sources (citation) : @minfin-remunerations, @minfin-indicateurs-fp, @ins-cnat-2015
# fiches : sources/minfinances-indicateurs.md
# méthode/hypothèses : docs/hypotheses-series-masse-salariale.md
# note : Masse salariale publique rapportée au PIB et aux dépenses de l'État, 1990-2025
Année,% du PIB,% des dépenses totales,% des dépenses de fonctionnement
1990,11.49,39.07,58.94
1991,11.71,40.1,61.4
1992,11.45,42.94,62.62
1993,11.72,42.8,63.57
1994,12.06,44.59,65.41
1995,12.26,45.61,67.2
1996,10.45,41.03,61.37
1997,10.0,43.33,63.17
1998,10.04,44.44,63.9
1999,9.94,43.89,65.97
2000,10.67,47.32,71.96
2001,10.79,47.53,72.8
2002,11.47,49.02,73.52
2003,11.46,50.03,74.37
2004,11.31,49.87,71.94
2005,10.96,49.95,70.04
2006,10.78,49.45,69.34
2007,10.68,47.71,67.4
2008,10.42,45.04,62.19
2009,10.7,44.44,67.26
2010,10.26,47.56,67.85
2011,11.34,44.8,61.42
2012,12.3,45.22,59.14
2013,12.79,43.65,55.07
2014,13.03,46.95,60.98
2015,12.9,52.05,67.23
2016,13.82,54.59,71.46
2017,14.07,52.6,66.97
2018,13.08,49.55,62.4
2019,13.63,51.31,63.47
2020,16.07,50.92,64.11
2021,15.34,50.15,64.96
2022,15.15,45.7,56.06
2023,14.49,44.62,55.69
2024,13.94,43.51,55.24
2025,13.48,44.34,55.02
