# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-25
# séries (tunisia_data) : ins-ministere-effectifs, ins-ministere-effectifs-2018-2025
# sources (citation) : @ins-fonction-publique-2021, @ins-fonction-publique-2025
# fiches : sources/ins-fonction-publique-salaires-2010-2021.md, sources/ins-fonction-publique-2018-2025.md
# méthode/hypothèses : série reconstituée par l'INS par-dessus une nomenclature annuelle mouvante (l'annexe 2017 replie Défense, Intérieur et collectivités locales dans « Autres ministères » ; l'annexe 2018 les renomme « Communes ») ; rupture de périmètre des collectivités locales 2016→2017 ; la colonne 2021 porte trois décimales contre une pour 2015-2020, d'où de faux petits mouvements 2020→2021 ; hausse de la Défense de +35 % entre 2015 et 2018, corroborée par deux publications INS mais non commentée par l'INS, sur un champ qui exclut les militaires de carrière ; tout lien avec le contexte sécuritaire post-2015 doit être documenté séparément, EN AGENTS, non en milliers. NON RACCORDABLE à `ins-ministere-effectifs` (2015-2021) : sur les années communes, le rapport 2025 RÉVISE la répartition à total inchangé. Environ 9 000 agents passent des « Autres établissements » au ministère de l'intérieur (intérieur 2018 : 87,3 milliers dans l'enquête, 96 286 agents ici ; autres établissements : 55,6 milliers contre 46 892) ; la Présidence du gouvernement perd environ 500 agents (2,2 milliers contre 1 684), la Justice en gagne environ 400, les Finances en perdent environ 300. L'INS ne commente pas ce reclassement. Défense, Éducation, Agriculture et collectivités locales concordent à l'arrondi.
# note : Effectifs de la fonction publique par ministère, 2015-2021 et 2018-2025 : deux publications non raccordées
Année,Source,Présidence du gouvernement,Ministère de la défense,Ministère de l'intérieur,Ministère de la justice,Ministère des finances,Ministère de l'agriculture,Ministère de l'équipement,Ministère de la jeunesse et des sports,Ministère de la santé,Ministère de l'éducation,Ministère de l'enseignement supérieur,Ministère des affaires sociales,Collectivités locales,Autres établissements
2015,"INS, enquête 2010-2021",2.4,63.1,84.2,15.9,19.1,28.7,5.2,18.1,73.8,191.1,36.0,7.3,6.9,50.1
2016,"INS, enquête 2010-2021",2.4,69.4,86.4,16.0,18.9,29.2,5.4,18.5,75.8,197.9,35.9,7.7,6.7,52.1
2017,"INS, enquête 2010-2021",2.3,74.7,87.4,16.9,19.0,28.7,5.2,18.4,77.3,196.7,35.5,8.0,17.7,55.1
2018,"INS, enquête 2010-2021",2.2,85.0,87.3,18.0,18.6,27.5,4.7,18.1,77.1,194.4,34.4,7.8,21.5,55.6
2019,"INS, enquête 2010-2021",2.3,86.8,86.4,18.2,18.7,27.1,4.6,17.8,79.0,194.2,33.9,8.9,25.2,55.8
2020,"INS, enquête 2010-2021",2.3,86.9,87.5,18.4,18.7,26.6,4.5,18.0,80.5,195.4,33.8,8.9,27.1,55.7
2021,"INS, enquête 2010-2021",2.275,86.446,90.304,18.858,18.717,25.483,4.421,17.968,81.772,196.7,34.285,8.722,27.42,55.919
2018,"INS, rapport 2018-2025",1.684,84.971,96.286,18.375,18.295,27.534,4.666,18.074,77.256,194.43,34.465,7.814,21.483,46.892
2019,"INS, rapport 2018-2025",1.758,86.808,95.704,18.663,18.383,27.068,4.518,17.78,79.124,194.178,33.982,8.875,25.216,46.824
2020,"INS, rapport 2018-2025",1.783,86.88,96.796,18.797,18.376,26.603,4.432,17.987,80.665,195.391,33.832,8.863,27.083,46.707
2021,"INS, rapport 2018-2025",1.797,86.446,99.826,19.3,18.373,25.483,4.349,17.968,81.909,196.7,34.363,8.722,27.42,46.634
2022,"INS, rapport 2018-2025",1.781,87.035,99.727,18.974,18.237,25.387,4.129,17.375,82.269,196.354,33.561,8.461,27.697,43.74
2023,"INS, rapport 2018-2025",1.752,87.584,98.771,19.085,17.617,23.329,3.927,17.42,80.28,195.779,33.564,8.784,26.925,44.191
2024,"INS, rapport 2018-2025",1.637,88.44,97.061,18.491,17.448,22.69,3.784,16.984,78.057,191.054,32.371,8.499,26.468,44.171
2025,"INS, rapport 2018-2025",1.598,87.765,96.146,18.193,17.572,21.421,3.579,17.423,78.622,197.836,32.181,8.613,26.697,44.852
