# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-25
# séries (tunisia_data) : ins-salaire-par-categorie-hors-contributions-2018-2025, ins-salaire-par-categorie
# sources (citation) : @ins-fonction-publique-2025, @ins-fonction-publique-2021
# fiches : sources/ins-fonction-publique-2018-2025.md, sources/ins-fonction-publique-salaires-2010-2021.md
# méthode/hypothèses : Le tableau 12 ne précise pas à lui seul s'il s'agit du brut avec ou sans contributions. La pondération par les effectifs du tableau 6 redonne le salaire brut sans contributions du tableau 10, notion explicitement nommée par l'INS. Non raccordable au tableau 20 de l'enquête 2010-2021, qui redonne le brut avec contributions., Le tableau 20 est étiqueté salaire mensuel brut. La pondération par les effectifs du tableau 8 redonne les fonctionnaires du tableau 19, puis le tableau 19 pondéré redonne le salaire brut avec contributions du tableau 18, notion explicitement nommée par l'INS. La troisième ligne est libellée A2 en français mais A3 en arabe ; le libellé A3 est rétabli par position.
# note : Salaire mensuel brut sans contributions des fonctionnaires par catégorie statutaire, 2018-2025, et pour mémoire brut avec contributions, 2015-2020
Année,Concept (source),A1,A2,A3,B,C,D,Rapport A1/D
2015,"Brut avec contributions (INS, enquête 2010-2021)",2446.6,1655.2,1368.9,1237.5,1141.9,1144.1,2.14
2016,"Brut avec contributions (INS, enquête 2010-2021)",2458.5,1844.8,1516.6,1466.1,1398.9,1176.1,2.09
2017,"Brut avec contributions (INS, enquête 2010-2021)",2539.0,1831.5,1501.6,1448.8,1394.2,1176.7,2.16
2018,"Brut avec contributions (INS, enquête 2010-2021)",2561.4,1898.6,1580.5,1581.9,1457.8,1296.5,1.98
2019,"Brut avec contributions (INS, enquête 2010-2021)",2829.2,2272.7,1919.7,1926.2,1729.6,1645.1,1.72
2020,"Brut avec contributions (INS, enquête 2010-2021)",3126.0,2481.4,2139.3,2134.7,1887.6,1803.7,1.73
2018,"Brut sans contributions (INS, rapport 2018-2025)",2175.3,1612.7,1359.2,1359.4,1237.8,1135.8,1.92
2019,"Brut sans contributions (INS, rapport 2018-2025)",2367.2,1897.8,1622.8,1626.7,1445.7,1416.9,1.67
2020,"Brut sans contributions (INS, rapport 2018-2025)",2614.4,2078.4,1814.2,1805.2,1579.4,1540.7,1.7
2021,"Brut sans contributions (INS, rapport 2018-2025)",2710.3,2109.0,1860.1,1788.7,1519.1,1558.5,1.74
2022,"Brut sans contributions (INS, rapport 2018-2025)",2838.0,2208.3,1924.5,1878.0,1625.4,1615.3,1.76
2023,"Brut sans contributions (INS, rapport 2018-2025)",2866.4,2203.4,1931.2,1877.1,1630.7,1617.1,1.77
2024,"Brut sans contributions (INS, rapport 2018-2025)",2980.4,2309.6,2007.9,1963.8,1715.9,1685.8,1.77
2025,"Brut sans contributions (INS, rapport 2018-2025)",3106.7,2387.5,2099.8,2031.4,1760.4,1758.3,1.77
