# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-22
# séries (tunisia_data) : ins-salaire-par-categorie-hors-contributions-2018-2025, ins-salaire-par-categorie, bct-ipc-base2015
# sources (citation) : @ins-fonction-publique-2025, @ins-fonction-publique-2021, @bct-ra
# fiches : sources/ins-fonction-publique-2018-2025.md, sources/ins-fonction-publique-salaires-2010-2021.md, sources/bct-archives.md
# méthode/hypothèses : BRUT HORS CONTRIBUTIONS — INFÉRENCE, l'INS ne le dit pas : le tableau est étiqueté « salaire mensuel brut moyen ». Chaîne de preuve : pondérée par les effectifs du tableau 6, la série redonne les fonctionnaires du tableau 11 à 0,2 dinar près les huit années, et le tableau 11 pondéré redonne le brut SANS contributions du tableau 10. NON RACCORDABLE à `ins-salaire-par-categorie` (tab20 de l'enquête 2010-2021), qui est le brut AVEC contributions, pour des effectifs par catégorie pourtant identiques sur 2018-2020 : A1 2018 = 2 561,4 là-bas, 2 175,3 ici. Le rapport tab20/tab12 varie selon la catégorie (2018 : A1 et A2 1,177 ; A3 1,163 ; B 1,164 ; C 1,178 ; D 1,141) et selon l'année (1,16 à 1,20) : aucun coefficient ne raccorde les deux séries. Dinars courants ; moyennes de corps hétérogènes., ÉTIQUETTE CORRIGÉE : le tableau publié nomme sa troisième ligne « Catégorie A2 » en français alors que l'arabe y écrit « أ3 » ; le libellé A2 y paraît deux fois et A3 jamais. Les lignes sont rapprochées par position et l'étiquette rétablie — le CSV s'écarte donc sciemment du libellé publié. Montants en dinars COURANTS, non déflatés : une évolution de niveau ne se lit pas sans indice de prix, un rapport entre catégories se lit. Moyennes par catégorie, qui recouvrent des corps très hétérogènes. Champ : fonctionnaires seuls, d'où un effectif inférieur à celui de la fonction publique. La série s'arrête en 2020, non en 2021 comme celles des effectifs. BRUT AVEC CONTRIBUTIONS — INFÉRENCE, l'INS ne le dit pas (le tableau est étiqueté « salaire mensuel brut ») : pondérée par les effectifs de tab8, la série redonne les fonctionnaires de tab19 à 0,05 dinar près (2018 : 1 943,2), et tab19 pondéré par tab6 redonne le brut AVEC contributions de tab18 (1 716,5 contre 1 716,6). NE SE PROLONGE PAS par `ins-salaire-par-categorie-hors-contributions-2018-2025` (rapport INS 2018-2025, tableau 12), qui est le brut SANS contributions : A1 2018 = 2 561,4 ici, 2 175,3 là, pour des effectifs identiques ; le rapport entre les deux varie de 1,14 à 1,20 selon la catégorie et l'année, et aucun coefficient ne raccorde les deux séries., EXTRAIT DU RAPPORT ANNUEL, ET NON DU BULLETIN : l'intitulé du BSF (« base 100 en 2010 ») est périmé et ses valeurs récentes sont en base 2015 — voir docs/tables-a-extraire-pdf.md §1. L'ANNÉE DE BASE 2015 = 100 EST POSÉE PAR DÉFINITION, non lue : aucun rapport ne tabule son année de base, tous ne publiant que les millésimes récents. Série RECONSTITUÉE en recollant six rapports, chacun n'en publiant que trois millésimes ; toutes les années communes concordent, et le script LÈVE en cas de divergence — un indice de prix ne se révise pas d'une publication à l'autre, contrairement aux effectifs. S'ARRÊTE EN 2024 : aucune déflation n'est possible au-delà, ce qui laisse sans équivalent réel les tranches d'augmentation programmées jusqu'en 2028. Déflater une date en cours d'année par l'indice ANNUEL MOYEN est une approximation.
# note : Salaire mensuel brut par catégorie statutaire, en dinars constants de 2015 : hors contributions 2018-2024, et pour mémoire avec contributions 2015-2020
Année,Concept (source),A1,A2,A3,B,C,D,Rapport A1/D
2015,"Brut avec contributions (INS, enquête 2010-2021)",2446.6,1655.2,1368.9,1237.5,1141.9,1144.1,2.14
2016,"Brut avec contributions (INS, enquête 2010-2021)",2373.1,1780.7,1463.9,1415.2,1350.3,1135.2,2.09
2017,"Brut avec contributions (INS, enquête 2010-2021)",2327.2,1678.7,1376.4,1328.0,1277.9,1078.6,2.16
2018,"Brut avec contributions (INS, enquête 2010-2021)",2187.4,1621.3,1349.7,1350.9,1244.9,1107.2,1.98
2019,"Brut avec contributions (INS, enquête 2010-2021)",2263.4,1818.2,1535.8,1541.0,1383.7,1316.1,1.72
2020,"Brut avec contributions (INS, enquête 2010-2021)",2368.2,1879.8,1620.7,1617.2,1430.0,1366.4,1.73
2018,"Brut hors contributions (INS, rapport 2018-2025)",1857.6,1377.2,1160.7,1160.9,1057.0,969.9,1.92
2019,"Brut hors contributions (INS, rapport 2018-2025)",1893.8,1518.2,1298.2,1301.4,1156.6,1133.5,1.67
2020,"Brut hors contributions (INS, rapport 2018-2025)",1980.6,1574.5,1374.4,1367.6,1196.5,1167.2,1.7
2021,"Brut hors contributions (INS, rapport 2018-2025)",1941.5,1510.7,1332.4,1281.3,1088.2,1116.4,1.74
2022,"Brut hors contributions (INS, rapport 2018-2025)",1878.2,1461.5,1273.7,1242.9,1075.7,1069.0,1.76
2023,"Brut hors contributions (INS, rapport 2018-2025)",1735.1,1333.8,1169.0,1136.3,987.1,978.9,1.77
2024,"Brut hors contributions (INS, rapport 2018-2025)",1685.7,1306.3,1135.7,1110.7,970.5,953.5,1.77
