# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-22
# séries (tunisia_data) : cnrps-taux-equilibre
# sources (citation) : @cnrps-guides-rapports, @cnrps-etats-financiers, @minfin-remunerations
# fiches : sources/cnrps-publications.md
# méthode/hypothèses : SÉRIE CALCULÉE. DÉNOMINATEUR APPROCHÉ DE 2000 À 2013 : aucune source lue ne donne les cotisations seules avant 2014 ; la masse salariale de l'État (ministère des finances, « Rémunérations publiques ») en tient lieu. Sur 2014-2020, l'assiette tirée des cotisations vaut 0,997 ; 0,992 ; 1,009 ; 0,977 ; 0,974 ; 0,994 ; 0,952 fois cette masse, mais par compensation de périmètres, non par identité : la masse de l'État comprend les contributions patronales, les primes et les rappels, et exclut les collectivités locales et les établissements publics hors budget de l'État, affiliés à la caisse ; le taux employeur passant de 8,2 % à 12,5 % entre 2000 et 2013, rien n'assure que la compensation ait été stable avant 2014. BIAIS CHIFFRÉ EN 2010 : l'approximation donne un salaire moyen de 875,2 D par mois, quand la caisse publie 979,158 D de salaire brut moyen pour ses actifs (guide 2000-2010, p. 49, périmètre non précisé, 423 032 personnes), soit −10,6 % ; appliqué à tous les affiliés, le chiffre publié donnerait un taux d'équilibre de 22,1 % au lieu de 24,8 %. Rien n'est corrigé. Le ratio pensions / cotisants ne dépend pas du dénominateur ; seuls le taux de remplacement apparent et le taux d'équilibre portent l'approximation. 2019-2020 : cotisations RECONSTITUÉES (niveau 2018 + hausses publiées arrondies au million) ; 2020 cumule cette reconstitution et le plus faible recouvrement (0,952). PÉRIMÈTRES : le numérateur couvre l'ensemble des régimes de retraite (régime général, régimes spéciaux, retraites anticipées financées par l'État), seule série continue ; le dénominateur de 2014-2020 ne couvre que le régime général ; la variante de même périmètre (« taux d'équilibre, régime général seul ») est plus basse de 0,9 % (2015) à 2,6 % (2018) selon les années de 2014 à 2020. Le numérateur comprend de petites charges autres que des pensions : allocations familiales, confondues avec les pensions temporaires d'orphelins (1,7 à 2,0 % des dépenses en 2014-2018, borne haute), et remboursements de cotisations (0,01 %). Les effectifs comptent des PENSIONS, non des personnes, en fin d'année, rapportées à des dépenses annuelles. 2016 atypique : des primes spécifiques créées ou revalorisées ont ajouté plus de 110 millions de dinars de cotisations. Le taux d'équilibre est une grandeur comptable instantanée : il ne tient compte ni des autres recettes du régime (péréquation, bonification, rachats, contributions de l'État) ni des réserves.
# note : CNRPS : taux de cotisation d'équilibre et taux légal global, 2000-2020
Année,Dénominateur,Taux d'équilibre (%),Taux légal global (%),Écart (points),Remplacement apparent (%),Pensions ÷ cotisants (%),Pension moyenne (D/mois),Salaire moyen (D/mois),Dépenses du régime (MD),Masse soumise à cotisation (MD),"Pensions, toutes natures",Affiliés actifs,"Taux d'équilibre, régime général seul (%)",Assiette ÷ masse salariale de l'État,Source des dépenses,Source du dénominateur
2000,masse salariale de l'État (approximation),17.11,14.2,2.91,58.24,29.38,286.9,492.5,537.4,3141.0,156126,531449,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2001,masse salariale de l'État (approximation),17.28,14.2,3.08,57.06,30.28,300.4,526.6,591.8,3424.8,164133,541992,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2002,masse salariale de l'État (approximation),18.1,14.7,3.4,57.9,31.25,322.3,556.6,666.6,3684.0,172363,551519,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2003,masse salariale de l'État (approximation),18.58,15.45,3.13,56.88,32.66,332.6,584.7,737.1,3968.0,184694,565496,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2004,masse salariale de l'État (approximation),19.42,15.95,3.47,58.75,33.05,358.0,609.3,825.8,4252.6,192229,581594,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2005,masse salariale de l'État (approximation),20.08,16.32,3.75,58.2,34.5,375.0,644.3,921.9,4591.0,204853,593802,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2006,masse salariale de l'État (approximation),20.95,16.57,4.37,58.99,35.51,404.3,685.3,1033.2,4931.7,212967,599697,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2007,masse salariale de l'État (approximation),21.84,17.5,4.34,62.11,35.16,448.1,721.4,1163.4,5327.5,216362,615418,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2008,masse salariale de l'État (approximation),22.57,18.5,4.07,61.75,36.55,478.2,774.5,1300.3,5761.4,226575,619928,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
2009,masse salariale de l'État (approximation),23.14,19.5,3.64,61.26,37.77,508.0,829.2,1457.5,6298.7,239110,632986,,,"CNRPS, guide statistique 2000-2010, p. 41 (« إيرادات ونفقات الأنظمة الإجتماعية »), lecture image","Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)"
