# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-24
# séries (tunisia_data) : cnss-regimes-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. ASSIETTES FORFAITAIRES RECONSTITUÉES (RTNS, RTTE, RACI) : les classes déclarées ne sont pas des revenus ; l'annuaire ne dit pas si l'effectif d'une classe est celui du 31 décembre ou celui des affiliés de l'année ; l'assiette suppose quatre trimestres cotisés par assuré compté : elle majore l'assiette due si le décompte porte sur les affiliés de l'année, et plus encore l'assiette encaissée — τ* est alors sous-estimé. SMIG DU RÉGIME DE 48 HEURES × 2 400 HEURES, nommé par les textes : pas d'ambiguïté avec le régime de 40 heures. SMIG OU SMAG EN VIGUEUR AU 1er JANVIER (règle écrite pour le RACI, supposée pour le RTNS et le RTTE), variante au SMIG moyen de l'année à part : elle abaisse τ* de 3,9 % au plus en valeur relative, sauf pour le RTNS agricole (4,7 % en 2011 ; 9,0 % en 2012, année des deux paliers du SMAG). SMIG ET SMAG DU 1er AOÛT 2016 FIXÉS RÉTROACTIVEMENT PAR DES DÉCRETS DU 5 JUIN 2017. RTNS 2000-2004 : CLASSES DE L'ENSEMBLE SEULEMENT, τ* ENCADRÉ (5,9-7,3 % en 2000). RSA : BORNE INFÉRIEURE SEULEMENT (le nombre de trimestres déclarés n'est pas publié), valable si chaque salarié a au plus un employeur déclarant par trimestre (loi n° 81-6, art. 18) ; elle dépasse 60 % chaque année, parce que la cotisation porte sur 45 jours de SMAG par trimestre au plus quand la pension se calcule sur 300 jours. RSAA : TAUX LÉGAL DE 7,5 % PUBLIÉ PAR LA CAISSE, SANS DÉCRET DE RÉPARTITION IDENTIFIÉ ; salaire moyen déclaré très bas (666 D par an en 2000) : en 2013, 83,6 % des salariés déclarent un salaire mensuel de deux tiers du SMAG ou moins (annuaire 2013, pyramide en SMAG) — déclarations partielles ou saisonnières, par déduction ; le remplacement apparent dépasse 100 % en 2016-2017. RACI : pensionnés plus nombreux que les cotisants jusqu'en 2009 (pensions transitoires sans cotisation de la loi n° 2002-104, art. 33-34, par déduction) : τ* de 168 % en 2004, sans portée actuarielle. RTTE : régime jeune, τ* de 0,2 % (2000) à 7,9 % (2017). TAUX LÉGAUX DATÉS (RSA 1er janvier 1981, RSAA 1er octobre 1989, RTTE 19 janvier 1989, RTNS 19 juillet 1995, RACI 5 janvier 2003) ; la caisse ne les publie que pour 2013 et 2017, leur constance sur 2000-2012 repose sur les textes. S'ARRÊTE EN 2017.
# note : Régime des artistes, créateurs et intellectuels : taux de cotisation d'équilibre, taux légal de la branche pensions et décomposition du taux d'équilibre, 2004-2017
Année,Taux d'équilibre (%),"Taux d'équilibre, salaire minimum moyen de l'année (%)",Taux légal de la branche pensions (%),Écart taux d'équilibre − taux légal (points),Remplacement apparent (%),Pensionnés ÷ cotisants (%),Pension moyenne (D/mois),Revenu d'assiette moyen (D/mois),Coefficient moyen de classe,"Pensions servies, toutes natures (MD)",Assiette (MD),"Pensionnés, toutes natures",Cotisants (actifs),Assiette retenue
2004,168.14,165.36,7.0,161.14,35.2,477.8,165.37,469.91,2.315,0.256,0.152,129,27,Σ classes × coefficient × SMIG 48 h × 2 400 h
2005,96.24,95.36,7.0,89.24,35.3,272.5,164.87,466.91,2.225,0.275,0.286,139,51,Σ classes × coefficient × SMIG 48 h × 2 400 h
2006,66.26,65.22,7.0,59.26,37.0,179.3,163.46,442.35,2.052,0.306,0.462,156,87,Σ classes × coefficient × SMIG 48 h × 2 400 h
2007,58.71,57.64,7.0,51.71,35.8,163.8,164.73,459.63,2.067,0.34,0.579,172,105,Σ classes × coefficient × SMIG 48 h × 2 400 h
2008,53.59,52.27,7.0,46.59,35.7,150.0,170.57,477.38,2.07,0.35,0.653,171,114,Σ classes × coefficient × SMIG 48 h × 2 400 h
2009,38.07,37.52,7.0,31.07,33.7,113.1,168.86,501.7,2.071,0.385,1.011,190,168,Σ classes × coefficient × SMIG 48 h × 2 400 h
2010,30.57,29.88,7.0,23.57,33.1,92.5,170.9,517.08,2.063,0.404,1.322,197,213,Σ classes × coefficient × SMIG 48 h × 2 400 h
2011,29.57,28.62,7.0,22.57,31.3,94.4,169.98,542.45,2.07,0.41,1.387,201,213,Σ classes × coefficient × SMIG 48 h × 2 400 h
2012,28.99,28.2,7.0,21.99,30.0,96.7,170.75,569.55,2.071,0.418,1.442,204,211,Σ classes × coefficient × SMIG 48 h × 2 400 h
2013,24.22,24.22,7.0,17.22,28.8,84.1,173.04,600.95,2.071,0.407,1.68,196,233,Σ classes × coefficient × SMIG 48 h × 2 400 h
2014,29.59,28.44,7.0,22.59,37.5,78.9,234.4,625.09,2.154,0.526,1.778,187,237,Σ classes × coefficient × SMIG 48 h × 2 400 h
2015,24.92,24.01,7.0,17.92,35.7,69.7,236.72,662.34,2.153,0.517,2.074,182,261,Σ classes × coefficient × SMIG 48 h × 2 400 h
2016,22.39,21.88,7.0,15.39,33.8,66.3,237.78,704.17,2.167,0.545,2.434,191,288,Σ classes × coefficient × SMIG 48 h × 2 400 h
2017,21.44,21.44,7.0,14.44,34.3,62.5,253.89,739.59,2.154,0.588,2.742,193,309,Σ classes × coefficient × SMIG 48 h × 2 400 h
