# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-24
# séries (tunisia_data) : cnss-regimes-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. ASSIETTES FORFAITAIRES RECONSTITUÉES (RTNS, RTTE, RACI) : les classes déclarées ne sont pas des revenus ; l'annuaire ne dit pas si l'effectif d'une classe est celui du 31 décembre ou celui des affiliés de l'année ; l'assiette suppose quatre trimestres cotisés par assuré compté : elle majore l'assiette due si le décompte porte sur les affiliés de l'année, et plus encore l'assiette encaissée — τ* est alors sous-estimé. SMIG DU RÉGIME DE 48 HEURES × 2 400 HEURES, nommé par les textes : pas d'ambiguïté avec le régime de 40 heures. SMIG OU SMAG EN VIGUEUR AU 1er JANVIER (règle écrite pour le RACI, supposée pour le RTNS et le RTTE), variante au SMIG moyen de l'année à part : elle abaisse τ* de 3,9 % au plus en valeur relative, sauf pour le RTNS agricole (4,7 % en 2011 ; 9,0 % en 2012, année des deux paliers du SMAG). SMIG ET SMAG DU 1er AOÛT 2016 FIXÉS RÉTROACTIVEMENT PAR DES DÉCRETS DU 5 JUIN 2017. RTNS 2000-2004 : CLASSES DE L'ENSEMBLE SEULEMENT, τ* ENCADRÉ (5,9-7,3 % en 2000). RSA : BORNE INFÉRIEURE SEULEMENT (le nombre de trimestres déclarés n'est pas publié), valable si chaque salarié a au plus un employeur déclarant par trimestre (loi n° 81-6, art. 18) ; elle dépasse 60 % chaque année, parce que la cotisation porte sur 45 jours de SMAG par trimestre au plus quand la pension se calcule sur 300 jours. RSAA : TAUX LÉGAL DE 7,5 % PUBLIÉ PAR LA CAISSE, SANS DÉCRET DE RÉPARTITION IDENTIFIÉ ; salaire moyen déclaré très bas (666 D par an en 2000) : en 2013, 83,6 % des salariés déclarent un salaire mensuel de deux tiers du SMAG ou moins (annuaire 2013, pyramide en SMAG) — déclarations partielles ou saisonnières, par déduction ; le remplacement apparent dépasse 100 % en 2016-2017. RACI : pensionnés plus nombreux que les cotisants jusqu'en 2009 (pensions transitoires sans cotisation de la loi n° 2002-104, art. 33-34, par déduction) : τ* de 168 % en 2004, sans portée actuarielle. RTTE : régime jeune, τ* de 0,2 % (2000) à 7,9 % (2017). TAUX LÉGAUX DATÉS (RSA 1er janvier 1981, RSAA 1er octobre 1989, RTTE 19 janvier 1989, RTNS 19 juillet 1995, RACI 5 janvier 2003) ; la caisse ne les publie que pour 2013 et 2017, leur constance sur 2000-2012 repose sur les textes. S'ARRÊTE EN 2017.
# note : Régime des salariés agricoles : borne inférieure du taux de cotisation d'équilibre, taux légal de la branche pensions et rapport entre pensionnés et cotisants, 2000-2017
Année,Borne inférieure du taux d'équilibre (%),Taux légal de la branche pensions (%),Pensionnés ÷ cotisants (%),"Pensions servies, toutes natures (MD)",Assiette maximale (MD),"Pensionnés, toutes natures",Cotisants (actifs),Assiette retenue
2000,78.1,5.25,183.2,8.02,10.264,15088,8235,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2001,75.9,5.25,179.6,8.35,10.994,15771,8781,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2002,74.8,5.25,179.0,8.919,11.927,16313,9115,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2003,73.0,5.25,177.2,9.306,12.748,16666,9405,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2004,71.4,5.25,177.8,9.526,13.338,16932,9525,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2005,71.4,5.25,172.7,10.143,14.211,17095,9900,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2006,66.9,5.25,166.9,10.268,15.342,17224,10323,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2007,64.1,5.25,161.6,10.61,16.554,17414,10777,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2008,60.7,5.25,156.0,11.017,18.139,17701,11345,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2009,60.6,5.25,152.4,11.688,19.29,17789,11670,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2010,61.9,5.25,152.9,12.281,19.838,17553,11478,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2011,65.5,5.25,164.7,13.282,20.284,18014,10938,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2012,67.2,5.25,168.2,15.011,22.329,18047,10727,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2013,72.1,5.25,178.4,17.813,24.692,18092,10144,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2014,73.4,5.25,182.6,18.676,25.435,18317,10032,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2015,76.2,5.25,188.6,19.862,26.059,18326,9718,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2016,83.0,5.25,207.7,21.608,26.032,19351,9316,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
2017,87.9,5.25,223.9,22.909,26.065,20192,9019,assiette maximale : Σ salariés × coefficient × SMAG moyen de l'année × 180 j (quatre trimestres de 45 jours)
