# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnss-rsna-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques, @bm-1993-social-protection
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. TAUX LÉGAL AMBIGU, EXPOSÉ EN DEUX COLONNES : la quote-part du taux global est fixée en vingtièmes (6,25/20e depuis le 1er janvier 1994, décret n° 94-1429 ; 7,25/20e depuis le 1er janvier 2003, décret n° 2003-1212) alors que le taux global est de 18 % depuis la loi n° 97-4. Lecture « en points » (celle de la caisse, qui publie 12,5 %) : 11,50 % puis 12,50 % ; lecture littérale (X/20 × 18 %) : 10,875 % puis 11,775 %, cotisation propre de 5,25 % comprise. POUR 2000-2002 AUCUN DOCUMENT DE LA CAISSE LU NE PUBLIE LE TAUX : 11,50 % est déduit du texte. DÉCLARÉ ≠ ENCAISSÉ : le dénominateur est la masse déclarée, non les cotisations recouvrées. NUMÉRATEUR COMPTABLE (« bilans »), DÉNOMINATEUR DÉCLARATIF. Le travail non déclaré est hors champ. La variante avec régime complémentaire ajoute des pensions financées par une cotisation facultative sur la tranche au-delà de six SMIG. RUPTURE DE 2003 (taxis et louages, décret n° 2002-3018). Le salaire moyen, rapporté aux actifs non-assujettis compris, est un peu plus bas que le salaire moyen publié. Pensions de l'année rapportées à des effectifs de fin d'année. 1980 ET 1985-1991 : AUTRE SOURCE, AUTRE PÉRIMÈTRE, SANS RACCORD. Banque mondiale, rapport n° 11376-TUN (1993), annexe statistique, tableaux 3 et 5, série bm1993-caisses ; rien pour 1981-1984 ni pour 1992-1999. Les grandeurs sont celles de la CAVIS, qui servait les pensions de tout le secteur privé (RSNA et régimes conventionnels fusionnés ; salariés agricoles depuis 1981 ; régime agricole amélioré et Tunisiens à l'étranger depuis 1989 ; indépendants agricoles, date non établie), non du seul RSNA. Taux légal du RSNA : 3,75 % (décret n° 74-499, art. 9) + 1,25/20e (art. 5 b), puis 4,25/20e à compter du 1er janvier 1988 (décret n° 88-1137) ; le taux global de la loi n° 60-30 étant de 20 %, les deux lectures coïncident : 5,00 % puis 8,00 % (8,00 % publiés au tableau 6 pour 1991). Masse = cotisations de pension de la CAVIS ÷ taux du RSNA, « équivalent RSNA », non déclarée : les autres régimes cotisant moins (5,25 % ; 7,5 %), τ* est un MAJORANT de 1988 à 1991 ; de 1981 à 1987 les salariés agricoles cotisent 5,25 % contre 5 % (biais inverse, faible). Contrôle codé : la masse tirée des cotisations de la CNSS hors CAVIS (÷ 18,75 %, puis 15,75 %) vaut 0,83 à 0,97 fois celle-ci, sans saut en 1988 (il valide la date et le niveau de la quote-part, non la lecture de la fraction). Régime complémentaire : la CAVIS le gérait aussi ; son inclusion dans les montants n'est pas connue, et le sens de l'erreur non plus. τ* : 3,2 % (1980), 6,0 % (1985), 8,7 % (1987), 7,9 % (1991).
# note : Régime des salariés non agricoles : taux de cotisation d'équilibre et taux légal de la branche pensions, 1980-2017
Année,Champ et dénominateur,Taux d'équilibre (%),"Taux d'équilibre, avec régime complémentaire (%)",Pensions ÷ cotisations de pension (CAVIS),"Taux légal, lecture en points (%)","Taux légal, lecture littérale (%)","Écart, lecture en points (points)","Écart, lecture littérale (points)",Remplacement apparent (%),Pensionnés ÷ cotisants (%),Pension moyenne (D/mois),Salaire moyen (D/mois),"Pensions servies, hors régime complémentaire (MD)",Masse salariale déclarée (MD),"Pensionnés, toutes natures","Actifs, non-assujettis compris",Source des pensions,Source de la masse salariale
1980,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",3.19,,0.638,5.0,5.0,-1.81,-1.81,36.7,8.7,30.85,84.04,12.0,376.0,32420,372850,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1985,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",6.02,,1.204,5.0,5.0,1.02,1.02,43.9,13.7,53.96,122.84,47.2,784.0,72900,531860,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1986,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",7.45,,1.491,5.0,5.0,2.45,2.45,44.8,16.6,53.0,118.28,56.8,762.0,89300,536850,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1987,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",8.73,,1.746,5.0,5.0,3.73,3.73,46.4,18.8,55.78,120.27,66.7,764.0,99640,529350,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1988,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",8.57,,1.072,8.0,8.0,0.57,0.57,44.3,19.3,60.23,135.87,79.4,926.2,109850,568100,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1989,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",8.29,,1.037,8.0,8.0,0.29,0.29,43.3,19.1,61.4,141.66,90.3,1088.8,122550,640470,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1990,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",8.34,,1.042,8.0,8.0,0.34,0.34,43.6,19.1,68.07,156.13,108.0,1295.0,132220,691180,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
1991,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",7.94,,0.993,8.0,8.0,-0.06,-0.06,38.8,20.5,70.15,180.75,122.6,1543.8,145650,711750,"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses ; décret n° 74-499 du 27 avril 1974, art. 5 b) et 9, JORT n° 30 du 30 avril - 3 mai 1974, p. 915-916 (https://www.pist.tn/jort/1974/1974F/Jo03074.pdf) ; décret n° 88-1137 du 11 juin 1988, art. 1er (art. 5 b nouveau) et 2, JORT n° 43 du 24 juin 1988, p. 942 (https://www.pist.tn/jort/1988/1988F/Jo04388.pdf) ; loi n° 60-30 du 14 décembre 1960, art. 41, JORT n° 57 du 13-16 décembre 1960, p. 1605 (https://www.pist.tn/jort/1960/1960F/Jo05760.pdf) ; Banque mondiale, rapport 11376-TUN (1993), annexe statistique, tableau 6, p. 88 (8,00 % en 1991)"
2000,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),14.05,14.43,,11.5,10.875,2.55,3.17,50.1,28.0,144.65,288.58,376.2,2677.5,216702,773161,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 1 (p. 23)"
2001,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),13.88,14.29,,11.5,10.875,2.38,3.0,48.3,28.7,147.74,305.63,418.6,3016.4,236126,822458,"CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 30 (p. 52)","CNSS, annuaire statistique 2017 (arabe), série cnss-rsna-annuaires, tableau 1 (p. 23)"
