# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnss-rsna-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques, @bm-1993-social-protection
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. TAUX LÉGAL AMBIGU, EXPOSÉ EN DEUX COLONNES : la quote-part du taux global est fixée en vingtièmes (6,25/20e depuis le 1er janvier 1994, décret n° 94-1429 ; 7,25/20e depuis le 1er janvier 2003, décret n° 2003-1212) alors que le taux global est de 18 % depuis la loi n° 97-4. Lecture « en points » (celle de la caisse, qui publie 12,5 %) : 11,50 % puis 12,50 % ; lecture littérale (X/20 × 18 %) : 10,875 % puis 11,775 %, cotisation propre de 5,25 % comprise. POUR 2000-2002 AUCUN DOCUMENT DE LA CAISSE LU NE PUBLIE LE TAUX : 11,50 % est déduit du texte. DÉCLARÉ ≠ ENCAISSÉ : le dénominateur est la masse déclarée, non les cotisations recouvrées. NUMÉRATEUR COMPTABLE (« bilans »), DÉNOMINATEUR DÉCLARATIF. Le travail non déclaré est hors champ. La variante avec régime complémentaire ajoute des pensions financées par une cotisation facultative sur la tranche au-delà de six SMIG. RUPTURE DE 2003 (taxis et louages, décret n° 2002-3018). Le salaire moyen, rapporté aux actifs non-assujettis compris, est un peu plus bas que le salaire moyen publié. Pensions de l'année rapportées à des effectifs de fin d'année. 1980 ET 1985-1991 : AUTRE SOURCE, AUTRE PÉRIMÈTRE, SANS RACCORD. Banque mondiale, rapport n° 11376-TUN (1993), annexe statistique, tableaux 3 et 5, série bm1993-caisses ; rien pour 1981-1984 ni pour 1992-1999. Les grandeurs sont celles de la CAVIS, qui servait les pensions de tout le secteur privé (RSNA et régimes conventionnels fusionnés ; salariés agricoles depuis 1981 ; régime agricole amélioré et Tunisiens à l'étranger depuis 1989 ; indépendants agricoles, date non établie), non du seul RSNA. Taux légal du RSNA : 3,75 % (décret n° 74-499, art. 9) + 1,25/20e (art. 5 b), puis 4,25/20e à compter du 1er janvier 1988 (décret n° 88-1137) ; le taux global de la loi n° 60-30 étant de 20 %, les deux lectures coïncident : 5,00 % puis 8,00 % (8,00 % publiés au tableau 6 pour 1991). Masse = cotisations de pension de la CAVIS ÷ taux du RSNA, « équivalent RSNA », non déclarée : les autres régimes cotisant moins (5,25 % ; 7,5 %), τ* est un MAJORANT de 1988 à 1991 ; de 1981 à 1987 les salariés agricoles cotisent 5,25 % contre 5 % (biais inverse, faible). Contrôle codé : la masse tirée des cotisations de la CNSS hors CAVIS (÷ 18,75 %, puis 15,75 %) vaut 0,83 à 0,97 fois celle-ci, sans saut en 1988 (il valide la date et le niveau de la quote-part, non la lecture de la fraction). Régime complémentaire : la CAVIS le gérait aussi ; son inclusion dans les montants n'est pas connue, et le sens de l'erreur non plus. τ* : 3,2 % (1980), 6,0 % (1985), 8,7 % (1987), 7,9 % (1991).
# note : Régime des salariés non agricoles : décomposition du taux d'équilibre, en indices, 1980-2017
Année,Champ et dénominateur,Année de base (= 100),Taux d'équilibre (indice),Remplacement apparent (indice),Pensionnés ÷ cotisants (indice)
1980,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,53.0,83.6,63.4
1985,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,100.0,100.0,100.0
1986,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,123.8,102.0,121.4
1987,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,145.0,105.6,137.3
1988,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,142.4,100.9,141.1
1989,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,137.8,98.7,139.6
1990,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,138.5,99.3,139.6
1991,"CAVIS, tout le secteur privé (Banque mondiale, 1993) ; masse = cotisations de pension ÷ taux du régime des salariés non agricoles ; sans raccord avec 2000",1985,131.9,88.4,149.3
2000,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,100.0,100.0,100.0
2001,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,98.8,96.4,102.4
2002,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,103.1,96.9,106.4
2003,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,107.6,95.3,112.9
2004,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,112.4,96.7,116.2
2005,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,116.6,97.8,119.3
2006,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,114.4,96.0,119.1
2007,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,115.0,96.6,119.0
2008,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,115.5,98.8,117.0
2009,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,112.3,95.7,117.3
2010,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,112.1,97.1,115.5
2011,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,114.9,97.0,118.4
2012,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,115.9,89.5,129.4
2013,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,113.8,84.8,134.3
2014,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,118.6,84.9,139.7
2015,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,125.0,86.5,144.5
2016,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,128.8,82.3,156.6
2017,Salariés non agricoles ; masse salariale déclarée (annuaires de la caisse),2000,128.0,79.2,161.5
