# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnss-regimes-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. ASSIETTES FORFAITAIRES RECONSTITUÉES (RTNS, RTTE, RACI) : les classes déclarées ne sont pas des revenus ; l'annuaire ne dit pas si l'effectif d'une classe est celui du 31 décembre ou celui des affiliés de l'année ; l'assiette suppose quatre trimestres cotisés par assuré compté : elle majore l'assiette due si le décompte porte sur les affiliés de l'année, et plus encore l'assiette encaissée — τ* est alors sous-estimé. SMIG DU RÉGIME DE 48 HEURES × 2 400 HEURES, nommé par les textes : pas d'ambiguïté avec le régime de 40 heures. SMIG OU SMAG EN VIGUEUR AU 1er JANVIER (règle écrite pour le RACI, supposée pour le RTNS et le RTTE), variante au SMIG moyen de l'année à part : elle abaisse τ* de 3,9 % au plus en valeur relative, sauf pour le RTNS agricole (4,7 % en 2011 ; 9,0 % en 2012, année des deux paliers du SMAG). SMIG ET SMAG DU 1er AOÛT 2016 FIXÉS RÉTROACTIVEMENT PAR DES DÉCRETS DU 5 JUIN 2017. RTNS 2000-2004 : CLASSES DE L'ENSEMBLE SEULEMENT, τ* ENCADRÉ (5,9-7,3 % en 2000). RSA : BORNE INFÉRIEURE SEULEMENT (le nombre de trimestres déclarés n'est pas publié), valable si chaque salarié a au plus un employeur déclarant par trimestre (loi n° 81-6, art. 18) ; elle dépasse 60 % chaque année, parce que la cotisation porte sur 45 jours de SMAG par trimestre au plus quand la pension se calcule sur 300 jours. RSAA : TAUX LÉGAL DE 7,5 % PUBLIÉ PAR LA CAISSE, SANS DÉCRET DE RÉPARTITION IDENTIFIÉ ; salaire moyen déclaré très bas (666 D par an en 2000) : en 2013, 83,6 % des salariés déclarent un salaire mensuel de deux tiers du SMAG ou moins (annuaire 2013, pyramide en SMAG) — déclarations partielles ou saisonnières, par déduction ; le remplacement apparent dépasse 100 % en 2016-2017. RACI : pensionnés plus nombreux que les cotisants jusqu'en 2009 (pensions transitoires sans cotisation de la loi n° 2002-104, art. 33-34, par déduction) : τ* de 168 % en 2004, sans portée actuarielle. RTTE : régime jeune, τ* de 0,2 % (2000) à 7,9 % (2017). TAUX LÉGAUX DATÉS (RSA 1er janvier 1981, RSAA 1er octobre 1989, RTTE 19 janvier 1989, RTNS 19 juillet 1995, RACI 5 janvier 2003 — le livre « Cotisations sociales » date ce dernier du 31 décembre 2002, jour de la publication) ; la caisse ne les publie que pour 2013 et 2017, leur constance sur 2000-2012 repose sur les textes. S'ARRÊTE EN 2017.
# note : Travailleurs non salariés : décomposition du taux de cotisation d'équilibre par secteur et pour l'ensemble, 2005-2017
Année,Régime ou champ,Taux d'équilibre (%),"Taux d'équilibre, salaire minimum moyen de l'année (%)",Taux légal de la branche pensions (%),Écart taux d'équilibre − taux légal (points),Remplacement apparent (%),Pensionnés ÷ cotisants (%),Pension moyenne (D/mois),Revenu d'assiette moyen (D/mois),Coefficient moyen de classe,"Pensions servies, toutes natures (MD)",Assiette (MD),"Pensionnés, toutes natures",Cotisants (actifs),Assiette retenue,"Taux d'équilibre, borne basse (%)","Taux d'équilibre, borne haute (%)"
2005,"Non-salariés, secteur non agricole",2.59,2.57,7.0,-4.41,21.5,12.1,62.59,291.74,1.391,23.028,889.498,30659.0,254080.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2006,"Non-salariés, secteur non agricole",2.76,2.71,7.0,-4.24,23.0,12.0,68.24,296.12,1.373,27.516,998.693,33603.0,281047.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2007,"Non-salariés, secteur non agricole",2.87,2.82,7.0,-4.13,23.9,12.0,72.18,302.39,1.36,32.429,1129.223,37442.0,311198.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2008,"Non-salariés, secteur non agricole",3.08,3.0,7.0,-3.92,25.5,12.0,79.51,311.23,1.35,39.233,1275.279,41120.0,341459.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2009,"Non-salariés, secteur non agricole",3.2,3.15,7.0,-3.8,26.6,12.0,86.16,324.41,1.339,46.498,1454.87,44973.0,373726.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2010,"Non-salariés, secteur non agricole",3.36,3.28,7.0,-3.64,29.0,11.6,96.46,332.51,1.327,55.047,1640.133,47555.0,411054.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2011,"Non-salariés, secteur non agricole",3.83,3.7,7.0,-3.17,32.6,11.7,112.76,345.51,1.319,67.132,1753.597,49611.0,422944.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2012,"Non-salariés, secteur non agricole",4.13,4.02,7.0,-2.87,31.5,13.1,114.21,362.34,1.318,78.287,1895.276,57124.0,435888.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2013,"Non-salariés, secteur non agricole",4.3,4.3,7.0,-2.7,31.6,13.6,121.46,384.44,1.325,90.3,2098.378,61956.0,454857.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2014,"Non-salariés, secteur non agricole",5.06,4.87,7.0,-1.94,34.4,14.7,132.47,385.15,1.327,108.084,2134.69,67993.0,461876.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2015,"Non-salariés, secteur non agricole",5.64,5.43,7.0,-1.36,35.2,16.0,143.95,409.51,1.331,127.356,2257.826,73725.0,459460.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2016,"Non-salariés, secteur non agricole",6.16,6.02,7.0,-0.84,34.9,17.7,151.49,434.39,1.337,151.435,2457.606,83303.0,471464.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2017,"Non-salariés, secteur non agricole",6.65,6.65,7.0,-0.35,33.5,19.8,158.16,471.77,1.374,178.084,2678.213,93830.0,473076.0,Σ classes × coefficient × SMIG 48 h × 2 400 h,,
2005,"Non-salariés, secteur agricole",21.45,21.23,7.0,14.45,26.9,79.7,54.05,200.77,1.197,33.224,154.923,51225.0,64305.0,Σ classes × coefficient × SMAG × 300 j,,
2006,"Non-salariés, secteur agricole",21.2,20.87,7.0,14.2,27.9,76.0,57.5,206.18,1.194,36.149,170.504,52391.0,68915.0,Σ classes × coefficient × SMAG × 300 j,,
2007,"Non-salariés, secteur agricole",20.07,19.72,7.0,13.07,27.7,72.5,58.79,212.44,1.192,38.498,191.837,54568.0,75250.0,Σ classes × coefficient × SMAG × 300 j,,
2008,"Non-salariés, secteur agricole",19.61,19.13,7.0,12.61,28.8,68.1,62.99,218.75,1.186,42.704,217.771,56495.0,82961.0,Σ classes × coefficient × SMAG × 300 j,,
2009,"Non-salariés, secteur agricole",17.96,17.71,7.0,10.96,28.2,63.7,64.52,228.61,1.18,44.805,249.408,57873.0,90916.0,Σ classes × coefficient × SMAG × 300 j,,
2010,"Non-salariés, secteur agricole",16.81,16.44,7.0,9.81,29.4,57.1,68.91,234.1,1.168,48.188,286.614,58272.0,102026.0,Σ classes × coefficient × SMAG × 300 j,,
2011,"Non-salariés, secteur agricole",17.96,17.11,7.0,10.96,30.9,58.1,74.98,242.3,1.157,53.702,298.927,59686.0,102811.0,Σ classes × coefficient × SMAG × 300 j,,
2012,"Non-salariés, secteur agricole",18.03,16.4,7.0,11.03,31.5,57.3,81.0,257.23,1.143,60.24,334.128,61974.0,108244.0,Σ classes × coefficient × SMAG × 300 j,,
2013,"Non-salariés, secteur agricole",16.22,16.22,7.0,9.22,30.2,53.8,99.07,328.55,1.132,75.208,463.774,63260.0,117632.0,Σ classes × coefficient × SMAG × 300 j,,
2014,"Non-salariés, secteur agricole",16.92,16.27,7.0,9.92,31.7,53.4,103.05,325.31,1.121,80.495,475.75,65095.0,121871.0,Σ classes × coefficient × SMAG × 300 j,,
2015,"Non-salariés, secteur agricole",17.43,16.79,7.0,10.43,32.3,54.0,110.32,341.67,1.111,87.579,502.581,66156.0,122578.0,Σ classes × coefficient × SMAG × 300 j,,
2016,"Non-salariés, secteur agricole",17.69,17.28,7.0,10.69,31.8,55.7,113.88,358.56,1.103,96.368,544.869,70519.0,126635.0,Σ classes × coefficient × SMAG × 300 j,,
2017,"Non-salariés, secteur agricole",17.56,17.56,7.0,10.56,30.6,57.4,116.74,381.61,1.111,104.191,593.399,74378.0,129582.0,Σ classes × coefficient × SMAG × 300 j,,
2000,"Non-salariés, ensemble des deux secteurs",,,7.0,,,31.2,,,1.494,29.925,,,,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),5.85,7.26
2001,"Non-salariés, ensemble des deux secteurs",,,7.0,,,30.6,,,1.453,33.082,,,,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),5.46,6.76
2002,"Non-salariés, ensemble des deux secteurs",,,7.0,,,29.0,,,1.419,39.373,,,,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),5.49,6.82
2003,"Non-salariés, ensemble des deux secteurs",,,7.0,,,27.6,,,1.389,42.964,,,,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),5.15,6.42
2004,"Non-salariés, ensemble des deux secteurs",,,7.0,,,26.6,,,1.368,51.133,,,,Σ classes × coefficient × SMIG 48 h × 2 400 h (tous les assurés au SMIG),5.35,6.67
2005,"Non-salariés, ensemble des deux secteurs",5.39,5.34,7.0,-1.61,20.9,25.7,57.25,273.36,,56.252,1044.421,81884.0,318385.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
2006,"Non-salariés, ensemble des deux secteurs",5.45,5.36,7.0,-1.55,22.2,24.6,61.7,278.41,,63.665,1169.197,85994.0,349962.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
2007,"Non-salariés, ensemble des deux secteurs",5.37,5.27,7.0,-1.63,22.5,23.8,64.24,284.87,,70.927,1321.06,92010.0,386448.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
2008,"Non-salariés, ensemble des deux secteurs",5.49,5.35,7.0,-1.51,23.9,23.0,69.95,293.15,,81.937,1493.05,97615.0,424420.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
2009,"Non-salariés, ensemble des deux secteurs",5.36,5.28,7.0,-1.64,24.2,22.1,73.98,305.66,,91.303,1704.277,102846.0,464642.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
2010,"Non-salariés, ensemble des deux secteurs",5.36,5.24,7.0,-1.64,26.0,20.6,81.29,312.94,,103.235,1926.747,105827.0,513080.0,Σ secteurs : classes non agricoles × coefficient × SMIG 48 h × 2 400 h + agricoles × coefficient × SMAG × 300 j,,
