# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-23
# séries (tunisia_data) : cnss-regimes-taux-equilibre
# sources (citation) : @cnss-annuaires-statistiques
# fiches : sources/cnss-annuaires.md
# méthode/hypothèses : SÉRIE CALCULÉE. ASSIETTES FORFAITAIRES RECONSTITUÉES (RTNS, RTTE, RACI) : les classes déclarées ne sont pas des revenus ; l'annuaire ne dit pas si l'effectif d'une classe est celui du 31 décembre ou celui des affiliés de l'année ; l'assiette suppose quatre trimestres cotisés par assuré compté : elle majore l'assiette due si le décompte porte sur les affiliés de l'année, et plus encore l'assiette encaissée — τ* est alors sous-estimé. SMIG DU RÉGIME DE 48 HEURES × 2 400 HEURES, nommé par les textes : pas d'ambiguïté avec le régime de 40 heures. SMIG OU SMAG EN VIGUEUR AU 1er JANVIER (règle écrite pour le RACI, supposée pour le RTNS et le RTTE), variante au SMIG moyen de l'année à part : elle abaisse τ* de 3,9 % au plus en valeur relative, sauf pour le RTNS agricole (4,7 % en 2011 ; 9,0 % en 2012, année des deux paliers du SMAG). SMIG ET SMAG DU 1er AOÛT 2016 FIXÉS RÉTROACTIVEMENT PAR DES DÉCRETS DU 5 JUIN 2017. RTNS 2000-2004 : CLASSES DE L'ENSEMBLE SEULEMENT, τ* ENCADRÉ (5,9-7,3 % en 2000). RSA : BORNE INFÉRIEURE SEULEMENT (le nombre de trimestres déclarés n'est pas publié), valable si chaque salarié a au plus un employeur déclarant par trimestre (loi n° 81-6, art. 18) ; elle dépasse 60 % chaque année, parce que la cotisation porte sur 45 jours de SMAG par trimestre au plus quand la pension se calcule sur 300 jours. RSAA : TAUX LÉGAL DE 7,5 % PUBLIÉ PAR LA CAISSE, SANS DÉCRET DE RÉPARTITION IDENTIFIÉ ; salaire moyen déclaré très bas (666 D par an en 2000) : en 2013, 83,6 % des salariés déclarent un salaire mensuel de deux tiers du SMAG ou moins (annuaire 2013, pyramide en SMAG) — déclarations partielles ou saisonnières, par déduction ; le remplacement apparent dépasse 100 % en 2016-2017. RACI : pensionnés plus nombreux que les cotisants jusqu'en 2009 (pensions transitoires sans cotisation de la loi n° 2002-104, art. 33-34, par déduction) : τ* de 168 % en 2004, sans portée actuarielle. RTTE : régime jeune, τ* de 0,2 % (2000) à 7,9 % (2017). TAUX LÉGAUX DATÉS (RSA 1er janvier 1981, RSAA 1er octobre 1989, RTTE 19 janvier 1989, RTNS 19 juillet 1995, RACI 5 janvier 2003 — le livre « Cotisations sociales » date ce dernier du 31 décembre 2002, jour de la publication) ; la caisse ne les publie que pour 2013 et 2017, leur constance sur 2000-2012 repose sur les textes. S'ARRÊTE EN 2017.
# note : Régime des Tunisiens à l'étranger : taux de cotisation d'équilibre, taux légal de la branche pensions et décomposition du taux d'équilibre, 2000-2017
Année,Taux d'équilibre (%),"Taux d'équilibre, salaire minimum moyen de l'année (%)",Taux légal de la branche pensions (%),Écart taux d'équilibre − taux légal (points),Remplacement apparent (%),Pensionnés ÷ cotisants (%),Pension moyenne (D/mois),Revenu d'assiette moyen (D/mois),Coefficient moyen de classe,"Pensions servies, toutes natures (MD)",Assiette (MD),"Pensionnés, toutes natures",Cotisants (actifs),Assiette retenue
2000,0.17,0.17,5.25,-5.08,16.3,1.1,93.75,574.04,3.295,0.009,5.159,8,749,Σ classes × coefficient × SMIG 48 h × 2 400 h
2001,0.19,0.18,5.25,-5.06,9.8,1.9,57.29,584.99,3.257,0.011,5.925,16,844,Σ classes × coefficient × SMIG 48 h × 2 400 h
2002,0.31,0.31,5.25,-4.94,12.4,2.5,76.39,617.97,3.287,0.022,7.0,24,944,Σ classes × coefficient × SMIG 48 h × 2 400 h
2003,0.5,0.48,5.25,-4.75,16.2,3.1,103.54,638.28,3.277,0.041,8.28,33,1081,Σ classes × coefficient × SMIG 48 h × 2 400 h
2004,0.81,0.8,5.25,-4.44,22.9,3.5,149.22,651.04,3.207,0.077,9.469,43,1212,Σ classes × coefficient × SMIG 48 h × 2 400 h
2005,0.72,0.71,5.25,-4.53,17.9,4.0,124.24,695.77,3.314,0.082,11.455,55,1372,Σ classes × coefficient × SMIG 48 h × 2 400 h
2006,0.86,0.85,5.25,-4.39,20.3,4.2,147.44,726.11,3.37,0.115,13.384,65,1536,Σ classes × coefficient × SMIG 48 h × 2 400 h
2007,0.78,0.77,5.25,-4.47,17.7,4.4,135.16,763.05,3.429,0.133,16.976,82,1854,Σ classes × coefficient × SMIG 48 h × 2 400 h
2008,0.84,0.82,5.25,-4.41,17.3,4.9,133.33,770.66,3.342,0.168,19.985,105,2161,Σ classes × coefficient × SMIG 48 h × 2 400 h
2009,1.05,1.04,5.25,-4.2,18.6,5.6,150.54,808.44,3.338,0.224,21.304,124,2196,Σ classes × coefficient × SMIG 48 h × 2 400 h
2010,1.36,1.33,5.25,-3.89,21.5,6.3,179.76,837.07,3.34,0.302,22.169,140,2207,Σ classes × coefficient × SMIG 48 h × 2 400 h
2011,1.84,1.78,5.25,-3.41,23.7,7.7,210.14,885.16,3.378,0.406,22.115,161,2082,Σ classes × coefficient × SMIG 48 h × 2 400 h
2012,2.32,2.25,5.25,-2.93,22.9,10.1,218.39,954.14,3.47,0.532,22.968,203,2006,Σ classes × coefficient × SMIG 48 h × 2 400 h
2013,2.71,2.71,5.25,-2.54,22.0,12.3,219.51,999.53,3.444,0.648,23.893,246,1992,Σ classes × coefficient × SMIG 48 h × 2 400 h
2014,4.19,4.03,5.25,-1.06,27.2,15.4,272.22,1002.28,3.454,0.98,23.405,300,1946,Σ classes × coefficient × SMIG 48 h × 2 400 h
2015,5.36,5.17,5.25,0.11,27.0,19.9,289.44,1073.08,3.489,1.299,24.222,374,1881,Σ classes × coefficient × SMIG 48 h × 2 400 h
2016,6.44,6.29,5.25,1.19,25.5,25.2,288.79,1131.32,3.481,1.608,24.98,464,1840,Σ classes × coefficient × SMIG 48 h × 2 400 h
2017,7.9,7.9,5.25,2.65,22.9,34.4,271.81,1185.34,3.452,1.957,24.778,600,1742,Σ classes × coefficient × SMIG 48 h × 2 400 h
