# Figure-data du précis socio-fiscal tunisien — généré le 2026-09-24
# séries (tunisia_data) : retraites-taux-liquidation
# sources (citation) : @loi59-18, @loi85-12, @decret74-499, @decret82-1030
# fiches : 
# méthode/hypothèses : La courbe de 1959 porte le plafond de 60 % en vigueur au 1er avril 1959 ; celui de 80 %, en vigueur du 1er juillet 1970 à 1985, n'est pas représenté. En 1959, la durée se décompte par semestre ; en 1974, la majoration par année complète : la courbe, tracée par année entière, ne porte pas ces pas.
# note : Taux de liquidation selon la durée : CNRPS (1959, 1985) et régime des salariés non agricoles (1974, 1982)
Durée (années),"CNRPS, barème de 1959 (%)","CNRPS, barème de 1985 (%)","Régime non agricole, barème de 1974 (%)","Régime non agricole, barème de 1982 (%)"
0,0.0,,,
1,2.0,,,
2,4.0,,,
3,6.0,,,
4,8.0,,,
5,10.0,,,20.0
6,12.0,,,24.0
7,14.0,,,28.0
8,16.0,,,32.0
9,18.0,,,36.0
10,20.0,,40.0,40.0
11,22.0,,42.0,42.0
12,24.0,,44.0,44.0
13,26.0,,46.0,46.0
14,28.0,,48.0,48.0
15,30.0,35.0,50.0,50.0
16,32.0,38.0,52.0,52.0
17,34.0,41.0,54.0,54.0
18,36.0,44.0,56.0,56.0
19,38.0,47.0,58.0,58.0
20,40.0,50.0,60.0,60.0
21,42.0,52.0,62.0,62.0
22,44.0,54.0,64.0,64.0
23,46.0,56.0,66.0,66.0
24,48.0,58.0,68.0,68.0
25,50.0,60.0,70.0,70.0
26,52.0,62.0,72.0,72.0
27,54.0,64.0,74.0,74.0
28,56.0,66.0,76.0,76.0
29,58.0,68.0,78.0,78.0
30,60.0,70.0,80.0,80.0
31,60.0,72.0,80.0,80.0
32,60.0,74.0,80.0,80.0
33,60.0,76.0,80.0,80.0
34,60.0,78.0,80.0,80.0
35,60.0,80.0,80.0,80.0
36,60.0,82.0,80.0,80.0
37,60.0,84.0,80.0,80.0
38,60.0,86.0,80.0,80.0
39,60.0,88.0,80.0,80.0
40,60.0,90.0,80.0,80.0
41,60.0,90.0,80.0,80.0
42,60.0,90.0,80.0,80.0
43,60.0,90.0,80.0,80.0
44,60.0,90.0,80.0,80.0
45,60.0,90.0,80.0,80.0
